ec_number,n_proteins,tool,recall
1,74,CAV,0.7162
1,74,deepectransformer-regular,0.6351
1,74,deepectransformer-learnt,0.6216
1,74,ecrecer,0.9865
1,74,clean-supcon,0.7973
1,74,enzbert-regular,0.9324
1,74,enzbert-learnt,0.9324
1,74,proteinbert-regular,0.8514
1,74,proteinbert-learnt,0.8514
1,74,stacked,0.9459
1,74,majority-voting-regular,0.9459
1,74,majority-voting-learnt,0.9865
1,74,species,0.0000
1.1,7,CAV,0.8571
1.1,7,deepectransformer-regular,0.7143
1.1,7,deepectransformer-learnt,0.7143
1.1,7,ecrecer,0.2857
1.1,7,clean-supcon,0.5714
1.1,7,enzbert-regular,0.4286
1.1,7,enzbert-learnt,0.7143
1.1,7,proteinbert-regular,0.7143
1.1,7,proteinbert-learnt,0.7143
1.1,7,stacked,0.7143
1.1,7,majority-voting-regular,0.5714
1.1,7,majority-voting-learnt,0.5714
1.1,7,species,0.0000
1.1.1,20,CAV,0.8500
1.1.1,20,deepectransformer-regular,0.7500
1.1.1,20,deepectransformer-learnt,0.7500
1.1.1,20,ecrecer,0.2500
1.1.1,20,clean-supcon,0.6500
1.1.1,20,enzbert-regular,0.5500
1.1.1,20,enzbert-learnt,0.7000
1.1.1,20,proteinbert-regular,0.6500
1.1.1,20,proteinbert-learnt,0.6500
1.1.1,20,stacked,0.7500
1.1.1,20,majority-voting-regular,0.7000
1.1.1,20,majority-voting-learnt,0.8000
1.1.1,20,species,0.0000
1.1.99,1,CAV,1.0000
1.1.99,1,deepectransformer-regular,0.0000
1.1.99,1,deepectransformer-learnt,0.0000
1.1.99,1,ecrecer,0.0000
1.1.99,1,clean-supcon,0.0000
1.1.99,1,enzbert-regular,0.0000
1.1.99,1,enzbert-learnt,0.0000
1.1.99,1,proteinbert-regular,0.0000
1.1.99,1,proteinbert-learnt,0.0000
1.1.99,1,stacked,1.0000
1.1.99,1,majority-voting-regular,0.0000
1.1.99,1,majority-voting-learnt,0.0000
1.1.99,1,species,0.0000
1.10.3,3,CAV,1.0000
1.10.3,3,deepectransformer-regular,0.3333
1.10.3,3,deepectransformer-learnt,0.3333
1.10.3,3,ecrecer,0.3333
1.10.3,3,clean-supcon,0.3333
1.10.3,3,enzbert-regular,0.3333
1.10.3,3,enzbert-learnt,0.3333
1.10.3,3,proteinbert-regular,0.3333
1.10.3,3,proteinbert-learnt,0.3333
1.10.3,3,stacked,0.3333
1.10.3,3,majority-voting-regular,0.3333
1.10.3,3,majority-voting-learnt,0.3333
1.10.3,3,species,0.0000
1.14,5,CAV,1.0000
1.14,5,deepectransformer-regular,0.6000
1.14,5,deepectransformer-learnt,0.6000
1.14,5,ecrecer,0.8000
1.14,5,clean-supcon,0.8000
1.14,5,enzbert-regular,0.8000
1.14,5,enzbert-learnt,0.8000
1.14,5,proteinbert-regular,0.6000
1.14,5,proteinbert-learnt,0.8000
1.14,5,stacked,0.8000
1.14,5,majority-voting-regular,0.8000
1.14,5,majority-voting-learnt,0.8000
1.14,5,species,0.0000
1.14.11,9,CAV,1.0000
1.14.11,9,deepectransformer-regular,0.4444
1.14.11,9,deepectransformer-learnt,0.4444
1.14.11,9,ecrecer,0.8889
1.14.11,9,clean-supcon,0.6667
1.14.11,9,enzbert-regular,0.7778
1.14.11,9,enzbert-learnt,0.7778
1.14.11,9,proteinbert-regular,0.4444
1.14.11,9,proteinbert-learnt,0.5556
1.14.11,9,stacked,0.6667
1.14.11,9,majority-voting-regular,0.8889
1.14.11,9,majority-voting-learnt,0.8889
1.14.11,9,species,0.0000
1.14.13,3,CAV,1.0000
1.14.13,3,deepectransformer-regular,0.6667
1.14.13,3,deepectransformer-learnt,0.6667
1.14.13,3,ecrecer,0.3333
1.14.13,3,clean-supcon,0.3333
1.14.13,3,enzbert-regular,0.3333
1.14.13,3,enzbert-learnt,0.3333
1.14.13,3,proteinbert-regular,0.3333
1.14.13,3,proteinbert-learnt,0.3333
1.14.13,3,stacked,0.3333
1.14.13,3,majority-voting-regular,0.3333
1.14.13,3,majority-voting-learnt,0.3333
1.14.13,3,species,0.0000
1.14.14,12,CAV,1.0000
1.14.14,12,deepectransformer-regular,0.5000
1.14.14,12,deepectransformer-learnt,0.4167
1.14.14,12,ecrecer,0.0000
1.14.14,12,clean-supcon,0.1667
1.14.14,12,enzbert-regular,0.1667
1.14.14,12,enzbert-learnt,0.2500
1.14.14,12,proteinbert-regular,0.0833
1.14.14,12,proteinbert-learnt,0.0833
1.14.14,12,stacked,0.2500
1.14.14,12,majority-voting-regular,0.2500
1.14.14,12,majority-voting-learnt,0.2500
1.14.14,12,species,0.0000
1.14.18,1,CAV,1.0000
1.14.18,1,deepectransformer-regular,0.0000
1.14.18,1,deepectransformer-learnt,0.0000
1.14.18,1,ecrecer,1.0000
1.14.18,1,clean-supcon,1.0000
1.14.18,1,enzbert-regular,0.0000
1.14.18,1,enzbert-learnt,0.0000
1.14.18,1,proteinbert-regular,0.0000
1.14.18,1,proteinbert-learnt,0.0000
1.14.18,1,stacked,0.0000
1.14.18,1,majority-voting-regular,1.0000
1.14.18,1,majority-voting-learnt,1.0000
1.14.18,1,species,0.0000
1.14.99,2,CAV,0.5000
1.14.99,2,deepectransformer-regular,0.0000
1.14.99,2,deepectransformer-learnt,0.0000
1.14.99,2,ecrecer,0.0000
1.14.99,2,clean-supcon,0.0000
1.14.99,2,enzbert-regular,0.0000
1.14.99,2,enzbert-learnt,0.0000
1.14.99,2,proteinbert-regular,0.0000
1.14.99,2,proteinbert-learnt,0.0000
1.14.99,2,stacked,0.0000
1.14.99,2,majority-voting-regular,0.0000
1.14.99,2,majority-voting-learnt,0.0000
1.14.99,2,species,0.0000
1.17.7.4,1,CAV,1.0000
1.17.7.4,1,deepectransformer-regular,1.0000
1.17.7.4,1,deepectransformer-learnt,1.0000
1.17.7.4,1,ecrecer,1.0000
1.17.7.4,1,clean-supcon,1.0000
1.17.7.4,1,enzbert-regular,1.0000
1.17.7.4,1,enzbert-learnt,1.0000
1.17.7.4,1,proteinbert-regular,1.0000
1.17.7.4,1,proteinbert-learnt,1.0000
1.17.7.4,1,stacked,1.0000
1.17.7.4,1,majority-voting-regular,1.0000
1.17.7.4,1,majority-voting-learnt,1.0000
1.17.7.4,1,species,0.0000
1.2.1.12,1,CAV,1.0000
1.2.1.12,1,deepectransformer-regular,0.0000
1.2.1.12,1,deepectransformer-learnt,0.0000
1.2.1.12,1,ecrecer,0.0000
1.2.1.12,1,clean-supcon,0.0000
1.2.1.12,1,enzbert-regular,0.0000
1.2.1.12,1,enzbert-learnt,0.0000
1.2.1.12,1,proteinbert-regular,0.0000
1.2.1.12,1,proteinbert-learnt,0.0000
1.2.1.12,1,stacked,0.0000
1.2.1.12,1,majority-voting-regular,0.0000
1.2.1.12,1,majority-voting-learnt,0.0000
1.2.1.12,1,species,0.0000
1.5.1,2,CAV,1.0000
1.5.1,2,deepectransformer-regular,1.0000
1.5.1,2,deepectransformer-learnt,1.0000
1.5.1,2,ecrecer,1.0000
1.5.1,2,clean-supcon,1.0000
1.5.1,2,enzbert-regular,1.0000
1.5.1,2,enzbert-learnt,1.0000
1.5.1,2,proteinbert-regular,0.5000
