llr_threshold,recall
-87.4962,1.0000
-86.5508,0.9968
-85.6055,0.9968
-84.6602,0.9968
-83.7148,0.9937
-82.7695,0.9937
-81.8241,0.9937
-80.8788,0.9937
-79.9335,0.9937
-78.9881,0.9937
-78.0428,0.9937
-77.0975,0.9937
-76.1521,0.9937
-75.2068,0.9937
-74.2614,0.9937
-73.3161,0.9937
-72.3708,0.9937
-71.4254,0.9937
-70.4801,0.9937
-69.5347,0.9937
-68.5894,0.9937
-67.6441,0.9937
-66.6987,0.9937
-65.7534,0.9937
-64.8081,0.9937
-63.8627,0.9937
-62.9174,0.9937
-61.9720,0.9937
-61.0267,0.9937
-60.0814,0.9937
-59.1360,0.9937
-58.1907,0.9937
-57.2453,0.9937
-56.3000,0.9937
-55.3547,0.9937
-54.4093,0.9937
-53.4640,0.9937
-52.5187,0.9937
-51.5733,0.9937
-50.6280,0.9937
-49.6826,0.9937
-48.7373,0.9937
-47.7920,0.9937
-46.8466,0.9937
-45.9013,0.9937
-44.9560,0.9937
-44.0106,0.9937
-43.0653,0.9937
-42.1199,0.9937
-41.1746,0.9937
-40.2293,0.9905
-39.2839,0.9905
-38.3386,0.9905
-37.3932,0.9905
-36.4479,0.9873
-35.5026,0.9873
-34.5572,0.9873
-33.6119,0.9873
-32.6666,0.9873
-31.7212,0.9873
-30.7759,0.9842
-29.8305,0.9842
-28.8852,0.9842
-27.9399,0.9842
-26.9945,0.9842
-26.0492,0.9842
-25.1038,0.9842
-24.1585,0.9842
-23.2132,0.9842
-22.2678,0.9842
-21.3225,0.9842
-20.3772,0.9810
-19.4318,0.9810
-18.4865,0.9810
-17.5411,0.9810
-16.5958,0.9778
-15.6505,0.9715
-14.7051,0.9715
-13.7598,0.9715
-12.8145,0.9684
-11.8691,0.9684
-10.9238,0.9620
-9.9784,0.9620
-9.0331,0.9620
-8.0878,0.9494
-7.1424,0.9494
-6.1971,0.9494
-5.2517,0.9494
-4.3064,0.9399
-3.3611,0.9335
-2.4157,0.9177
-1.4704,0.9051
-0.5251,0.8956
0.4203,0.8861
1.3656,0.8576
2.3110,0.8038
3.2563,0.5601
4.2016,0.4557
5.1470,0.3418
6.0923,0.2943
7.0377,0.2532
7.9830,0.2342
8.9283,0.2215
9.8737,0.2057
10.8190,0.1804
11.7643,0.1709
12.7097,0.1487
13.6550,0.1361
14.6004,0.1266
15.5457,0.1171
16.4910,0.1171
17.4364,0.1108
18.3817,0.1044
19.3271,0.1013
20.2724,0.1013
21.2177,0.0918
22.1631,0.0918
23.1084,0.0918
24.0537,0.0854
24.9991,0.0854
25.9444,0.0823
26.8898,0.0696
27.8351,0.0601
28.7804,0.0570
29.7258,0.0570
30.6711,0.0570
31.6164,0.0538
32.5618,0.0538
33.5071,0.0506
34.4525,0.0475
35.3978,0.0443
36.3431,0.0443
37.2885,0.0411
38.2338,0.0411
39.1792,0.0411
40.1245,0.0411
41.0698,0.0411
42.0152,0.0411
42.9605,0.0411
43.9058,0.0411
44.8512,0.0411
45.7965,0.0411
46.7419,0.0380
47.6872,0.0348
48.6325,0.0348
49.5779,0.0348
50.5232,0.0348
51.4686,0.0348
52.4139,0.0348
53.3592,0.0348
54.3046,0.0348
55.2499,0.0348
56.1952,0.0348
57.1406,0.0348
58.0859,0.0348
59.0313,0.0348
59.9766,0.0348
60.9219,0.0348
61.8673,0.0348
62.8126,0.0316
63.7580,0.0316
64.7033,0.0316
65.6486,0.0316
66.5940,0.0316
67.5393,0.0316
68.4846,0.0316
69.4300,0.0316
70.3753,0.0316
71.3207,0.0316
72.2660,0.0316
73.2113,0.0316
74.1567,0.0316
75.1020,0.0316
76.0473,0.0316
76.9927,0.0316
77.9380,0.0316
78.8834,0.0316
79.8287,0.0316
80.7740,0.0316
81.7194,0.0316
82.6647,0.0316
83.6101,0.0316
84.5554,0.0316
85.5007,0.0316
86.4461,0.0316
87.3914,0.0316
88.3367,0.0316
89.2821,0.0316
90.2274,0.0316
91.1728,0.0316
92.1181,0.0316
93.0634,0.0316
94.0088,0.0316
94.9541,0.0316
95.8995,0.0316
96.8448,0.0316
97.7901,0.0316
98.7355,0.0316
99.6808,0.0316
100.6261,0.0316
101.5715,0.0316
102.5168,0.0316
103.4622,0.0316
104.4075,0.0316
105.3528,0.0316
106.2982,0.0316
107.2435,0.0316
108.1888,0.0316
109.1342,0.0316
110.0795,0.0316
111.0249,0.0316
111.9702,0.0316
112.9155,0.0316
113.8609,0.0316
114.8062,0.0316
115.7516,0.0316
116.6969,0.0316
117.6422,0.0316
118.5876,0.0316
119.5329,0.0316
120.4782,0.0316
121.4236,0.0316
122.3689,0.0316
123.3143,0.0316
124.2596,0.0316
125.2049,0.0316
126.1503,0.0316
127.0956,0.0316
128.0410,0.0316
128.9863,0.0316
129.9316,0.0316
130.8770,0.0316
131.8223,0.0316
132.7676,0.0316
133.7130,0.0316
134.6583,0.0316
135.6037,0.0285
136.5490,0.0285
137.4943,0.0253
138.4397,0.0253
139.3850,0.0222
140.3304,0.0222
141.2757,0.0190
142.2210,0.0190
143.1664,0.0190
144.1117,0.0190
145.0570,0.0190
146.0024,0.0190
146.9477,0.0190
147.8931,0.0190
148.8384,0.0190
149.7837,0.0190
150.7291,0.0190
151.6744,0.0190
152.6197,0.0158
153.5651,0.0158
154.5104,0.0127
155.4558,0.0127
156.4011,0.0127
157.3464,0.0127
158.2918,0.0095
159.2371,0.0095
160.1825,0.0095
161.1278,0.0095
162.0731,0.0095
163.0185,0.0095
163.9638,0.0095
164.9091,0.0095
165.8545,0.0095
166.7998,0.0095
167.7452,0.0095
168.6905,0.0095
169.6358,0.0095
170.5812,0.0095
171.5265,0.0095
172.4719,0.0095
173.4172,0.0095
174.3625,0.0095
175.3079,0.0095
176.2532,0.0095
177.1985,0.0095
178.1439,0.0095
179.0892,0.0095
180.0346,0.0095
180.9799,0.0095
181.9252,0.0095
182.8706,0.0095
183.8159,0.0095
184.7613,0.0095
185.7066,0.0095
186.6519,0.0095
187.5973,0.0095
188.5426,0.0063
189.4879,0.0063
190.4333,0.0063
191.3786,0.0032
192.3240,0.0032
193.2693,0.0032
194.2146,0.0032
195.1600,0.0000
