pair,level,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000204287,HLA-DRA,3.5070949497291144,0.14451142158586652
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000019582,CD74,2.6595941597007213,0.13757036765211234
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000090382,LYZ,2.4028150720947226,0.12063404540668948
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000231389,HLA-DPA1,2.254245293862788,0.16686066109986664
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000101439,CST3,2.197911820530688,0.04834601254752503
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000087086,FTL,2.1538571158818023,0.04742350865243136
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000011600,TYROBP,2.0263670838917003,0.13523850231859322
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000211895,IGHA1,-1.928946012197376,0.06649744195771194
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000197746,PSAP,1.900685375469319,0.07774946935823542
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000223865,HLA-DPB1,1.8130066883775335,0.12956587882479828
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000167996,FTH1,1.706456582772208,0.1291271519402299
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000196126,HLA-DRB1,1.668654709701225,0.09358438504710771
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000030582,GRN,1.6654675625678594,0.06853384394203162
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000119655,NPC2,1.6501031320922812,0.03210987764963016
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000211772,TRBC2,-1.5952243294513333,0.09086479485279247
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000279483,ENSG00000279483,-1.5714468027828146,0.09556293984804387
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000179344,HLA-DQB1,1.5713498136646686,0.10360940672567744
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000164733,CTSB,1.5549128326684722,0.06326710197830357
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000133639,BTG1,-1.5473064914628325,0.15613646465163689
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000198888,MT-ND1,1.515304399720177,0.12242492595859057
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000130203,APOE,1.4978336984180411,0.08144456859146508
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000152518,ZFP36L2,-1.4865182442174258,0.08174058686610226
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000121966,CXCR4,-1.483837151418113,0.12439852428284581
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000233276,GPX1,1.444004746990666,0.05873801685011443
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000170345,FOS,1.4082904614689409,0.06301628517207525
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000163131,CTSS,1.3394938015254287,0.1459147833125885
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000221869,CEBPD,1.3317276117008796,0.0926709422202263
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000129226,CD68,1.2760974572953965,0.010766694022790058
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000211592,IGKC,-1.2756403262693785,0.15588504915967086
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000008517,IL32,-1.2666099517675102,0.1081712373248215
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000204472,AIF1,1.2517729621214966,0.05928850703735147
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000251562,MALAT1,-1.2425954861772557,-0.13789241132658464
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000118515,SGK1,1.2195090629880918,-0.001796505894079357
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000134954,ETS1,-1.2160220997040951,-0.01991352130777094
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000242574,HLA-DMB,1.2106388484047248,0.0135759065094242
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000120708,TGFBI,1.210390443619559,-0.016626576946058704
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000110077,MS4A6A,1.1985196271965015,0.05430942678981478
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000204103,MAFB,1.1961493013417517,0.03289946484848662
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000158869,FCER1G,1.1824246826929126,0.03647820508134649
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000130066,SAT1,1.1712112138494368,0.09536360511330208
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000173372,C1QA,1.1671152110974232,0.07818251796137114
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000196405,EVL,-1.166379760058788,0.07182665762467418
