pair,l2_score,is_baseline
neutrophil__breast__normal_vs_breast_cancer,0.7527,True
neutrophil__breast__normal_vs_breast_cancer,2.2814,True
neutrophil__breast__normal_vs_breast_cancer,1.2203,True
neutrophil__breast__normal_vs_breast_cancer,2.7117,True
neutrophil__breast__normal_vs_breast_cancer,1.7541,True
neutrophil__breast__normal_vs_breast_cancer,0.9788,True
neutrophil__breast__normal_vs_breast_cancer,-1.3005,True
neutrophil__breast__normal_vs_breast_cancer,1.9464,True
neutrophil__breast__normal_vs_breast_cancer,0.8532,True
neutrophil__breast__normal_vs_breast_cancer,0.2859,True
neutrophil__breast__normal_vs_breast_cancer,1.6879,True
neutrophil__breast__normal_vs_breast_cancer,1.1061,True
neutrophil__breast__normal_vs_breast_cancer,1.1652,True
neutrophil__breast__normal_vs_breast_cancer,3.0651,True
neutrophil__breast__normal_vs_breast_cancer,-1.6203,True
neutrophil__breast__normal_vs_breast_cancer,-2.2766,True
neutrophil__breast__normal_vs_breast_cancer,-4.1045,True
neutrophil__breast__normal_vs_breast_cancer,-1.8771,True
neutrophil__breast__normal_vs_breast_cancer,1.2523,True
neutrophil__breast__normal_vs_breast_cancer,1.7558,True
neutrophil__breast__normal_vs_breast_cancer,4.9116,False
neutrophil__breast__normal_vs_breast_cancer,3.0583,True
neutrophil__breast__normal_vs_breast_cancer,0.1986,True
neutrophil__breast__normal_vs_breast_cancer,2.4303,True
neutrophil__breast__normal_vs_breast_cancer,2.9305,True
neutrophil__breast__normal_vs_breast_cancer,0.15,True
neutrophil__breast__normal_vs_breast_cancer,0.6869,True
neutrophil__breast__normal_vs_breast_cancer,3.2462,True
neutrophil__breast__normal_vs_breast_cancer,4.6699,True
neutrophil__breast__normal_vs_breast_cancer,2.9819,True
neutrophil__breast__normal_vs_breast_cancer,3.1444,True
neutrophil__breast__normal_vs_breast_cancer,3.6628,False
neutrophil__breast__normal_vs_breast_cancer,2.5922,False
neutrophil__breast__normal_vs_breast_cancer,2.2176,False
neutrophil__breast__normal_vs_breast_cancer,2.0792,False
neutrophil__breast__normal_vs_breast_cancer,1.9736,False
neutrophil__breast__normal_vs_breast_cancer,3.642,False
neutrophil__breast__normal_vs_breast_cancer,3.1233,False
neutrophil__breast__normal_vs_breast_cancer,2.784,False
neutrophil__breast__normal_vs_breast_cancer,2.3596,False
neutrophil__breast__normal_vs_breast_cancer,3.3569,False
neutrophil__breast__normal_vs_breast_cancer,1.8226,False
neutrophil__breast__normal_vs_breast_cancer,4.1994,False
neutrophil__breast__normal_vs_breast_cancer,1.138,False
neutrophil__breast__normal_vs_breast_cancer,2.2099,False
neutrophil__breast__normal_vs_breast_cancer,5.4557,False
neutrophil__breast__normal_vs_breast_cancer,2.1992,False
neutrophil__breast__normal_vs_breast_cancer,2.6358,False
neutrophil__breast__normal_vs_breast_cancer,2.3798,False
neutrophil__breast__normal_vs_breast_cancer,2.2092,False
neutrophil__breast__normal_vs_breast_cancer,1.29,False
neutrophil__breast__normal_vs_breast_cancer,2.7484,False
neutrophil__breast__normal_vs_breast_cancer,1.6845,False
neutrophil__breast__normal_vs_breast_cancer,3.4563,False
neutrophil__breast__normal_vs_breast_cancer,1.5026,False
neutrophil__breast__normal_vs_breast_cancer,1.9419,False
neutrophil__breast__normal_vs_breast_cancer,4.2621,False
neutrophil__breast__normal_vs_breast_cancer,2.7908,False
neutrophil__breast__normal_vs_breast_cancer,4.0488,False
neutrophil__breast__normal_vs_breast_cancer,3.0842,False
neutrophil__breast__normal_vs_breast_cancer,3.5552,False
neutrophil__breast__normal_vs_breast_cancer,3.4228,False
neutrophil__breast__normal_vs_breast_cancer,1.6568,False
neutrophil__breast__normal_vs_breast_cancer,2.5767,False
neutrophil__breast__normal_vs_breast_cancer,3.6789,False
neutrophil__breast__normal_vs_breast_cancer,2.3868,False
neutrophil__breast__normal_vs_breast_cancer,1.5903,False
neutrophil__breast__normal_vs_breast_cancer,2.9204,False
neutrophil__breast__normal_vs_breast_cancer,6.6137,False
neutrophil__breast__normal_vs_breast_cancer,7.1615,False
neutrophil__breast__normal_vs_breast_cancer,5.6438,False
neutrophil__breast__normal_vs_breast_cancer,8.0401,False
neutrophil__breast__normal_vs_breast_cancer,7.6538,False
neutrophil__breast__normal_vs_breast_cancer,6.2224,False
neutrophil__breast__normal_vs_breast_cancer,7.2483,False
neutrophil__breast__normal_vs_breast_cancer,6.1697,False
neutrophil__breast__normal_vs_breast_cancer,6.3127,False
neutrophil__breast__normal_vs_breast_cancer,7.662,False
neutrophil__breast__normal_vs_breast_cancer,6.3778,False
neutrophil__breast__normal_vs_breast_cancer,5.8594,False
neutrophil__breast__normal_vs_breast_cancer,7.8333,False
neutrophil__breast__normal_vs_breast_cancer,5.9251,False
neutrophil__breast__normal_vs_breast_cancer,5.9118,False
neutrophil__breast__normal_vs_breast_cancer,3.3179,False
neutrophil__breast__normal_vs_breast_cancer,4.4863,False
neutrophil__breast__normal_vs_breast_cancer,5.2109,False
neutrophil__breast__normal_vs_breast_cancer,1.8783,False
neutrophil__breast__normal_vs_breast_cancer,4.5427,False
neutrophil__breast__normal_vs_breast_cancer,4.8,False
neutrophil__breast__normal_vs_breast_cancer,3.1603,False
neutrophil__breast__normal_vs_breast_cancer,5.1641,False
neutrophil__breast__normal_vs_breast_cancer,3.9111,False
neutrophil__breast__normal_vs_breast_cancer,4.6605,False
neutrophil__breast__normal_vs_breast_cancer,5.9794,False
neutrophil__breast__normal_vs_breast_cancer,4.6008,False
neutrophil__breast__normal_vs_breast_cancer,4.1052,False
neutrophil__breast__normal_vs_breast_cancer,7.096,False
neutrophil__breast__normal_vs_breast_cancer,6.7003,False
neutrophil__breast__normal_vs_breast_cancer,6.1747,False
neutrophil__breast__normal_vs_breast_cancer,4.6696,False
neutrophil__breast__normal_vs_breast_cancer,6.5089,False
neutrophil__breast__normal_vs_breast_cancer,5.9781,False
neutrophil__breast__normal_vs_breast_cancer,5.2811,False
neutrophil__breast__normal_vs_breast_cancer,4.6292,False
neutrophil__breast__normal_vs_breast_cancer,5.1281,False
neutrophil__breast__normal_vs_breast_cancer,3.232,False
neutrophil__breast__normal_vs_breast_cancer,2.5187,False
neutrophil__breast__normal_vs_breast_cancer,2.3976,False
neutrophil__breast__normal_vs_breast_cancer,3.311,False
neutrophil__breast__normal_vs_breast_cancer,2.963,True
neutrophil__breast__normal_vs_breast_cancer,0.2833,True
neutrophil__breast__normal_vs_breast_cancer,3.0119,True
neutrophil__breast__normal_vs_breast_cancer,1.6696,True
neutrophil__breast__normal_vs_breast_cancer,3.8977,True
neutrophil__breast__normal_vs_breast_cancer,3.4771,True
neutrophil__breast__normal_vs_breast_cancer,2.7008,True
neutrophil__breast__normal_vs_breast_cancer,3.3203,True
neutrophil__breast__normal_vs_breast_cancer,2.7942,True
neutrophil__breast__normal_vs_breast_cancer,1.6669,True
neutrophil__breast__normal_vs_breast_cancer,4.2229,True
neutrophil__breast__normal_vs_breast_cancer,4.2542,True
neutrophil__breast__normal_vs_breast_cancer,2.6016,True
neutrophil__breast__normal_vs_breast_cancer,2.0049,True
neutrophil__breast__normal_vs_breast_cancer,1.9728,True
neutrophil__breast__normal_vs_breast_cancer,2.1891,True
neutrophil__breast__normal_vs_breast_cancer,2.3866,True
neutrophil__breast__normal_vs_breast_cancer,2.6698,True
neutrophil__breast__normal_vs_breast_cancer,2.358,True
neutrophil__breast__normal_vs_breast_cancer,3.1683,True
neutrophil__breast__normal_vs_breast_cancer,2.4858,True
neutrophil__breast__normal_vs_breast_cancer,2.1256,True
neutrophil__breast__normal_vs_breast_cancer,3.0565,True
neutrophil__breast__normal_vs_breast_cancer,2.451,True
neutrophil__breast__normal_vs_breast_cancer,4.5901,True
neutrophil__breast__normal_vs_breast_cancer,3.2478,True
neutrophil__breast__normal_vs_breast_cancer,2.3259,True
neutrophil__breast__normal_vs_breast_cancer,2.5955,True
neutrophil__breast__normal_vs_breast_cancer,3.439,True
neutrophil__breast__normal_vs_breast_cancer,3.3119,True
neutrophil__breast__normal_vs_breast_cancer,2.4482,True
neutrophil__breast__normal_vs_breast_cancer,0.8165,True
neutrophil__breast__normal_vs_breast_cancer,3.7217,True
neutrophil__breast__normal_vs_breast_cancer,3.9772,True
neutrophil__breast__normal_vs_breast_cancer,3.695,True
neutrophil__breast__normal_vs_breast_cancer,1.5749,True
neutrophil__breast__normal_vs_breast_cancer,6.8739,False
neutrophil__breast__normal_vs_breast_cancer,5.6583,False
neutrophil__breast__normal_vs_breast_cancer,6.3281,False
neutrophil__breast__normal_vs_breast_cancer,6.2147,False
neutrophil__breast__normal_vs_breast_cancer,6.2065,False
neutrophil__breast__normal_vs_breast_cancer,4.3917,False
neutrophil__breast__normal_vs_breast_cancer,4.0157,False
neutrophil__breast__normal_vs_breast_cancer,4.0725,False
neutrophil__breast__normal_vs_breast_cancer,5.0789,False
neutrophil__breast__normal_vs_breast_cancer,4.931,False
neutrophil__breast__normal_vs_breast_cancer,3.1704,False
neutrophil__breast__normal_vs_breast_cancer,2.0057,False
neutrophil__breast__normal_vs_breast_cancer,2.2225,False
neutrophil__breast__normal_vs_breast_cancer,3.1448,False
neutrophil__breast__normal_vs_breast_cancer,1.5987,False
neutrophil__breast__normal_vs_breast_cancer,4.0453,False
neutrophil__breast__normal_vs_breast_cancer,3.5922,False
neutrophil__breast__normal_vs_breast_cancer,3.7844,False
neutrophil__breast__normal_vs_breast_cancer,2.3474,False
neutrophil__breast__normal_vs_breast_cancer,3.5584,False
neutrophil__breast__normal_vs_breast_cancer,7.4135,False
neutrophil__breast__normal_vs_breast_cancer,4.4565,False
neutrophil__breast__normal_vs_breast_cancer,3.5069,False
neutrophil__breast__normal_vs_breast_cancer,4.4469,False
neutrophil__breast__normal_vs_breast_cancer,5.0721,False
neutrophil__breast__normal_vs_breast_cancer,4.2071,False
neutrophil__breast__normal_vs_breast_cancer,5.5948,False
neutrophil__breast__normal_vs_breast_cancer,2.5978,False
neutrophil__breast__normal_vs_breast_cancer,5.3692,False
neutrophil__breast__normal_vs_breast_cancer,4.0951,False
neutrophil__breast__normal_vs_breast_cancer,3.7269,False
neutrophil__breast__normal_vs_breast_cancer,4.0059,False
neutrophil__breast__normal_vs_breast_cancer,5.5044,False
neutrophil__breast__normal_vs_breast_cancer,3.2043,False
neutrophil__breast__normal_vs_breast_cancer,3.6877,False
neutrophil__breast__normal_vs_breast_cancer,4.2611,False
neutrophil__breast__normal_vs_breast_cancer,1.4038,False
neutrophil__breast__normal_vs_breast_cancer,2.9701,False
neutrophil__breast__normal_vs_breast_cancer,6.2508,False
neutrophil__breast__normal_vs_breast_cancer,3.4924,False
neutrophil__breast__normal_vs_breast_cancer,2.8647,False
neutrophil__breast__normal_vs_breast_cancer,3.358,False
neutrophil__breast__normal_vs_breast_cancer,2.7468,False
neutrophil__breast__normal_vs_breast_cancer,3.8701,False
neutrophil__breast__normal_vs_breast_cancer,4.6177,False
neutrophil__breast__normal_vs_breast_cancer,2.3467,False
neutrophil__breast__normal_vs_breast_cancer,6.2041,False
neutrophil__breast__normal_vs_breast_cancer,3.5968,False
neutrophil__breast__normal_vs_breast_cancer,3.1903,False
neutrophil__breast__normal_vs_breast_cancer,2.75,False
neutrophil__breast__normal_vs_breast_cancer,4.4765,False
neutrophil__breast__normal_vs_breast_cancer,3.4159,False
neutrophil__breast__normal_vs_breast_cancer,3.3639,False
neutrophil__breast__normal_vs_breast_cancer,3.102,False
neutrophil__breast__normal_vs_breast_cancer,2.4422,False
neutrophil__breast__normal_vs_breast_cancer,2.2931,False
neutrophil__breast__normal_vs_breast_cancer,1.8663,False
neutrophil__breast__normal_vs_breast_cancer,2.3617,False
neutrophil__breast__normal_vs_breast_cancer,4.4141,False
neutrophil__breast__normal_vs_breast_cancer,4.7297,False
neutrophil__breast__normal_vs_breast_cancer,4.1232,False
neutrophil__breast__normal_vs_breast_cancer,3.1793,False
neutrophil__breast__normal_vs_breast_cancer,2.8452,False
neutrophil__breast__normal_vs_breast_cancer,4.7311,False
neutrophil__breast__normal_vs_breast_cancer,3.8359,False
neutrophil__breast__normal_vs_breast_cancer,3.5287,False
neutrophil__breast__normal_vs_breast_cancer,4.4421,False
neutrophil__breast__normal_vs_breast_cancer,7.4031,False
neutrophil__breast__normal_vs_breast_cancer,8.4128,False
neutrophil__breast__normal_vs_breast_cancer,5.0136,False
neutrophil__breast__normal_vs_breast_cancer,7.4161,False
neutrophil__breast__normal_vs_breast_cancer,7.5696,False
neutrophil__breast__normal_vs_breast_cancer,4.6287,False
neutrophil__breast__normal_vs_breast_cancer,5.8601,False
neutrophil__breast__normal_vs_breast_cancer,5.64,False
neutrophil__breast__normal_vs_breast_cancer,6.5795,False
neutrophil__breast__normal_vs_breast_cancer,5.1489,False
neutrophil__breast__normal_vs_breast_cancer,7.0455,False
neutrophil__breast__normal_vs_breast_cancer,5.8978,False
neutrophil__breast__normal_vs_breast_cancer,8.1916,False
neutrophil__breast__normal_vs_breast_cancer,7.2164,False
neutrophil__breast__normal_vs_breast_cancer,5.8396,False
neutrophil__breast__normal_vs_breast_cancer,6.0557,False
neutrophil__breast__normal_vs_breast_cancer,6.3027,False
neutrophil__breast__normal_vs_breast_cancer,6.5073,False
neutrophil__breast__normal_vs_breast_cancer,6.8604,False
neutrophil__breast__normal_vs_breast_cancer,7.5806,False
neutrophil__breast__normal_vs_breast_cancer,5.6193,False
neutrophil__breast__normal_vs_breast_cancer,7.9605,False
neutrophil__breast__normal_vs_breast_cancer,6.2139,False
neutrophil__breast__normal_vs_breast_cancer,6.5166,False
neutrophil__breast__normal_vs_breast_cancer,7.2354,False
neutrophil__breast__normal_vs_breast_cancer,6.8515,False
neutrophil__breast__normal_vs_breast_cancer,6.4311,False
neutrophil__breast__normal_vs_breast_cancer,7.0115,False
neutrophil__breast__normal_vs_breast_cancer,3.4945,False
neutrophil__breast__normal_vs_breast_cancer,5.818,False
neutrophil__breast__normal_vs_breast_cancer,6.3874,False
neutrophil__breast__normal_vs_breast_cancer,5.3496,False
neutrophil__breast__normal_vs_breast_cancer,6.114,False
neutrophil__breast__normal_vs_breast_cancer,4.9654,False
neutrophil__breast__normal_vs_breast_cancer,8.2336,False
neutrophil__breast__normal_vs_breast_cancer,5.5648,False
neutrophil__breast__normal_vs_breast_cancer,5.978,False
neutrophil__breast__normal_vs_breast_cancer,6.2157,False
neutrophil__breast__normal_vs_breast_cancer,5.8683,False
neutrophil__breast__normal_vs_breast_cancer,7.0541,False
neutrophil__breast__normal_vs_breast_cancer,6.6998,False
neutrophil__breast__normal_vs_breast_cancer,6.6635,False
neutrophil__breast__normal_vs_breast_cancer,6.8882,False
neutrophil__breast__normal_vs_breast_cancer,5.8694,False
neutrophil__breast__normal_vs_breast_cancer,7.7731,False
neutrophil__breast__normal_vs_breast_cancer,6.2718,False
neutrophil__breast__normal_vs_breast_cancer,5.7548,False
neutrophil__breast__normal_vs_breast_cancer,6.0159,False
neutrophil__breast__normal_vs_breast_cancer,7.0609,False
neutrophil__breast__normal_vs_breast_cancer,4.0758,False
neutrophil__breast__normal_vs_breast_cancer,4.5287,False
neutrophil__breast__normal_vs_breast_cancer,6.7007,False
neutrophil__breast__normal_vs_breast_cancer,5.6698,False
neutrophil__breast__normal_vs_breast_cancer,5.019,False
neutrophil__breast__normal_vs_breast_cancer,4.5719,False
neutrophil__breast__normal_vs_breast_cancer,5.0125,False
neutrophil__breast__normal_vs_breast_cancer,6.1104,False
neutrophil__breast__normal_vs_breast_cancer,4.846,False
