pair,gene,gene_name,r,rank,l2_score,expr_scaled
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,0.7527,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.2814,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.2203,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.7117,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.7541,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,0.9788,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,-1.3005,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.9464,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,0.8532,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,0.2859,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.6879,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.1061,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.1652,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.0651,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,-1.6203,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,-2.2766,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,-4.1045,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,-1.8771,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.2523,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.7558,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.9116,0.6160996
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.0583,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,0.1986,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.4303,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.9305,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,0.15,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,0.6869,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.2462,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.6699,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.9819,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.1444,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.6628,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.5922,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.2176,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.0792,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.9736,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.642,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.1233,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.784,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.3596,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.3569,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.8226,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.1994,0.0
