pair,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,3.5070949497291144,0.766139174253121
neutrophil__breast__normal_vs_breast_cancer,ENSG00000019582,CD74,2.6595941597007213,0.7000940102974894
neutrophil__breast__normal_vs_breast_cancer,ENSG00000090382,LYZ,2.4028150720947226,0.5843212076674613
neutrophil__breast__normal_vs_breast_cancer,ENSG00000231389,HLA-DPA1,2.254245293862788,0.7322931855494086
neutrophil__breast__normal_vs_breast_cancer,ENSG00000101439,CST3,2.197911820530688,0.6712762065700012
neutrophil__breast__normal_vs_breast_cancer,ENSG00000087086,FTL,2.1538571158818023,0.5625576591356232
neutrophil__breast__normal_vs_breast_cancer,ENSG00000011600,TYROBP,2.0263670838917003,0.6208260343551404
neutrophil__breast__normal_vs_breast_cancer,ENSG00000211895,IGHA1,-1.928946012197376,-0.1058956168984061
neutrophil__breast__normal_vs_breast_cancer,ENSG00000197746,PSAP,1.900685375469319,0.5875059998104223
neutrophil__breast__normal_vs_breast_cancer,ENSG00000223865,HLA-DPB1,1.8130066883775335,0.6735801301912302
neutrophil__breast__normal_vs_breast_cancer,ENSG00000167996,FTH1,1.706456582772208,0.4941346870882535
neutrophil__breast__normal_vs_breast_cancer,ENSG00000196126,HLA-DRB1,1.668654709701225,0.6125891984524318
neutrophil__breast__normal_vs_breast_cancer,ENSG00000030582,GRN,1.6654675625678594,0.5910356343911165
neutrophil__breast__normal_vs_breast_cancer,ENSG00000119655,NPC2,1.6501031320922812,0.588657285010675
neutrophil__breast__normal_vs_breast_cancer,ENSG00000211772,TRBC2,-1.5952243294513333,-0.2923608930311474
neutrophil__breast__normal_vs_breast_cancer,ENSG00000279483,ENSG00000279483,-1.5714468027828146,-0.142532304725508
neutrophil__breast__normal_vs_breast_cancer,ENSG00000179344,HLA-DQB1,1.5713498136646686,0.6258261177556358
neutrophil__breast__normal_vs_breast_cancer,ENSG00000164733,CTSB,1.5549128326684722,0.5409307613445854
neutrophil__breast__normal_vs_breast_cancer,ENSG00000133639,BTG1,-1.5473064914628325,-0.2320467935436198
neutrophil__breast__normal_vs_breast_cancer,ENSG00000198888,MT-ND1,1.515304399720177,0.2647356346199452
neutrophil__breast__normal_vs_breast_cancer,ENSG00000130203,APOE,1.4978336984180411,0.4579381499524937
neutrophil__breast__normal_vs_breast_cancer,ENSG00000152518,ZFP36L2,-1.4865182442174258,-0.1051218940393211
neutrophil__breast__normal_vs_breast_cancer,ENSG00000121966,CXCR4,-1.483837151418113,-0.265896339828325
neutrophil__breast__normal_vs_breast_cancer,ENSG00000233276,GPX1,1.444004746990666,0.587402714170187
neutrophil__breast__normal_vs_breast_cancer,ENSG00000170345,FOS,1.4082904614689409,0.3382004927425847
neutrophil__breast__normal_vs_breast_cancer,ENSG00000163131,CTSS,1.3394938015254287,0.4797263464375231
neutrophil__breast__normal_vs_breast_cancer,ENSG00000221869,CEBPD,1.3317276117008796,0.4222591458148703
neutrophil__breast__normal_vs_breast_cancer,ENSG00000129226,CD68,1.2760974572953965,0.5245437140481708
neutrophil__breast__normal_vs_breast_cancer,ENSG00000211592,IGKC,-1.2756403262693785,-0.0269938904297443
neutrophil__breast__normal_vs_breast_cancer,ENSG00000008517,IL32,-1.2666099517675102,-0.2834456318191693
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204472,AIF1,1.2517729621214966,0.4928266826090974
neutrophil__breast__normal_vs_breast_cancer,ENSG00000251562,MALAT1,-1.2425954861772557,-0.3531039513847219
neutrophil__breast__normal_vs_breast_cancer,ENSG00000118515,SGK1,1.2195090629880918,0.4519866743614298
neutrophil__breast__normal_vs_breast_cancer,ENSG00000134954,ETS1,-1.2160220997040951,-0.307683787357658
neutrophil__breast__normal_vs_breast_cancer,ENSG00000242574,HLA-DMB,1.2106388484047248,0.558838610270193
neutrophil__breast__normal_vs_breast_cancer,ENSG00000120708,TGFBI,1.210390443619559,0.4776723958314586
neutrophil__breast__normal_vs_breast_cancer,ENSG00000110077,MS4A6A,1.1985196271965015,0.5536237726739911
