level,cell_id,x,y,cell_type,tissue,is_baseline
raw,45179619,29.307682,2.7529547,epithelial cell,ovary,True
raw,45433301,-2.4122043,15.2461405,epithelial cell,colorectum,False
raw,45179579,55.651955,30.110432,T cell,ovary,True
raw,45309182,0.98978823,44.75107,neutrophil,breast,False
raw,45187970,16.102829,3.83004,mononuclear phagocyte,ovary,False
raw,45383798,-5.565085,63.482494,neutrophil,lung,False
raw,45427502,-61.1276,0.5790607,mast cell,colorectum,True
raw,45175128,-72.04864,-29.090967,endothelial cell,colorectum,False
raw,45443221,-61.7317,51.35729,neutrophil,lung,True
raw,45427529,-62.722004,7.0974817,T cell,colorectum,True
raw,45182013,45.305023,-25.567507,T cell,ovary,True
raw,45386653,-51.539837,66.7288,neutrophil,lung,False
raw,45182473,-6.095423,-14.070433,T cell,ovary,True
raw,45434508,-51.292866,68.01478,T cell,colorectum,False
raw,45191245,9.0859375,9.423961,T cell,ovary,False
raw,45182313,43.792675,9.227356,T cell,ovary,True
raw,45287947,-8.918715,49.6074,neutrophil,lung,False
raw,45176184,-4.2713013,-0.20790307,fibroblast,colorectum,True
raw,45179231,30.127306,7.00104,fibroblast,ovary,True
raw,45430095,-79.89786,-1.1453785,endothelial cell,colorectum,False
raw,45196705,9.63724,-11.477675,epithelial cell,ovary,True
raw,45194345,-25.581818,-47.55018,endothelial cell,ovary,True
raw,45180674,45.03744,10.487518,fibroblast,ovary,True
raw,45177244,-6.69507,-4.150176,epithelial cell,colorectum,False
raw,45181443,8.041237,8.353757,epithelial cell,ovary,True
raw,45439279,-55.72455,61.42614,neutrophil,lung,True
raw,45430874,-24.262333,18.597832,endothelial cell,colorectum,False
raw,45426396,-78.129524,26.161171,fibroblast,colorectum,True
raw,45429981,-35.10556,-0.2820253,fibroblast,colorectum,False
raw,45178544,32.545853,19.416977,mononuclear phagocyte,ovary,True
raw,45427445,-57.848064,-11.19672,T cell,colorectum,True
raw,45420531,0.91605353,-53.71781,T cell,colorectum,False
raw,45180557,26.370392,-56.790154,fibroblast,ovary,True
raw,45428401,-27.511053,20.733543,epithelial cell,colorectum,False
raw,45182135,2.2220514,-30.786179,T cell,ovary,True
raw,45175819,50.558758,-58.20632,fibroblast,colorectum,True
raw,45431550,-1.6008545,-47.289757,mononuclear phagocyte,colorectum,True
raw,45187669,6.953437,-67.249664,endothelial cell,ovary,False
raw,45426795,54.53399,52.81316,fibroblast,colorectum,True
raw,45178009,36.32838,-51.653484,B cell,colorectum,False
raw,45175369,-69.60002,-29.029707,endothelial cell,colorectum,False
raw,45433374,33.918087,-33.842056,epithelial cell,colorectum,False
raw,45433142,12.987856,59.835922,epithelial cell,colorectum,False
raw,45419902,-37.205345,8.941549,epithelial cell,colorectum,False
raw,45186967,45.69393,28.57614,epithelial cell,ovary,False
raw,45420560,-40.292053,-23.48191,mast cell,colorectum,False
raw,45430841,-12.873215,15.30006,mononuclear phagocyte,colorectum,False
raw,45420439,52.28339,-14.199873,B cell,colorectum,False
raw,45426580,54.37669,43.545517,endothelial cell,colorectum,True
raw,45421061,-13.662493,17.554184,B cell,colorectum,False
raw,45180483,42.98866,-44.8143,mononuclear phagocyte,ovary,True
raw,45423241,26.936075,46.941128,mononuclear phagocyte,colorectum,True
raw,45431536,-51.996925,-3.0576367,epithelial cell,colorectum,True
raw,45428705,-34.47521,-12.4125185,T cell,colorectum,False
raw,45447679,22.186907,47.714275,neutrophil,lung,False
raw,45437651,-19.043884,66.400826,neutrophil,lung,True
raw,45443936,-55.25426,65.06172,neutrophil,lung,True
raw,45423489,-52.280415,5.3342314,mononuclear phagocyte,colorectum,True
raw,45197357,13.666514,-14.933242,mononuclear phagocyte,ovary,True
raw,45308339,-1.388126,41.33937,neutrophil,breast,False
raw,45437555,-4.9668746,67.419975,neutrophil,lung,True
raw,45178174,17.325226,4.2637463,epithelial cell,ovary,True
raw,45187689,37.259563,-14.126764,endothelial cell,ovary,False
raw,45195926,-27.430277,-36.49635,epithelial cell,ovary,True
raw,45426792,-1.8991629,9.769514,T cell,colorectum,True
raw,45431401,22.529455,-28.774588,epithelial cell,colorectum,True
raw,45397984,0.038527485,57.73414,neutrophil,lung,False
raw,45182210,31.98096,-8.803373,endothelial cell,ovary,True
raw,45176528,-41.41584,-70.837654,fibroblast,colorectum,True
raw,45188050,29.54816,-49.33732,fibroblast,ovary,False
raw,45422479,36.69802,4.367822,B cell,colorectum,False
raw,45181486,-0.37957585,9.57814,mononuclear phagocyte,ovary,True
raw,45421109,-63.948082,-0.22800921,T cell,colorectum,False
raw,45430541,53.942234,-56.264977,endothelial cell,colorectum,False
raw,45425154,33.418858,-35.009495,epithelial cell,colorectum,False
raw,45197777,-15.246997,-10.751354,epithelial cell,ovary,True
raw,45425632,69.47253,-11.814203,T cell,colorectum,False
raw,45198175,0.73881966,-5.098323,epithelial cell,ovary,True
raw,45434535,-52.023342,69.56948,B cell,colorectum,False
raw,45426573,39.531338,9.39603,mononuclear phagocyte,colorectum,True
raw,45177920,38.90437,-20.99491,fibroblast,colorectum,False
raw,45430336,-76.29935,2.327876,fibroblast,colorectum,False
raw,45180956,3.7887156,18.029875,endothelial cell,ovary,True
raw,45432028,25.695415,3.222306,epithelial cell,colorectum,True
raw,45425726,23.326696,7.9926314,mononuclear phagocyte,colorectum,False
raw,45183327,1.0200483,26.650887,epithelial cell,ovary,False
raw,45433886,-48.635666,61.10378,T cell,colorectum,False
raw,45428646,37.624916,-35.354313,mononuclear phagocyte,colorectum,False
raw,45432620,-26.586544,26.671066,epithelial cell,colorectum,False
raw,45427607,-38.874027,-7.074624,epithelial cell,colorectum,False
raw,45427226,56.401466,44.862873,fibroblast,colorectum,True
raw,45420999,-30.211132,-24.194057,T cell,colorectum,False
raw,45195650,-23.96758,-51.741833,T cell,ovary,True
raw,45431723,5.525384,-53.958572,epithelial cell,colorectum,True
raw,45431320,-0.686386,-39.86905,B cell,colorectum,True
raw,45419952,40.49421,47.468914,epithelial cell,colorectum,False
raw,45425097,56.577602,-55.07234,mononuclear phagocyte,colorectum,False
raw,45262464,-12.834502,34.485657,neutrophil,breast,True
raw,45434013,-54.761723,61.199165,epithelial cell,colorectum,False
raw,45430360,17.462448,38.867744,fibroblast,colorectum,False
raw,45198989,-29.504189,-30.206861,T cell,ovary,False
raw,45183908,49.92055,31.76084,epithelial cell,ovary,False
raw,45189689,28.271378,11.938616,fibroblast,ovary,False
raw,45177367,48.504818,-36.512478,T cell,colorectum,True
raw,45176115,-29.1719,26.660345,fibroblast,colorectum,True
raw,45181036,31.87588,20.280077,mononuclear phagocyte,ovary,True
raw,45419821,-12.990978,17.35353,B cell,colorectum,False
raw,45182087,47.942474,-13.629024,fibroblast,ovary,True
raw,45438231,-63.57561,69.42269,neutrophil,lung,True
raw,45437143,-53.817234,61.90573,neutrophil,lung,True
raw,45182410,35.413654,-10.027441,T cell,ovary,True
raw,45423600,33.987885,-39.48974,mononuclear phagocyte,colorectum,True
raw,45428423,-37.321354,-13.518136,mononuclear phagocyte,colorectum,False
raw,45185079,2.2041316,-27.342844,epithelial cell,ovary,False
raw,45197881,32.055923,46.587048,epithelial cell,ovary,True
raw,45179513,30.429953,-20.198082,endothelial cell,ovary,True
raw,45434206,-13.418454,58.722824,epithelial cell,colorectum,False
raw,45422948,54.78665,-56.65533,epithelial cell,colorectum,False
raw,45420760,53.408653,46.95133,B cell,colorectum,False
raw,45175196,-41.043774,-71.48782,mononuclear phagocyte,colorectum,False
raw,45440434,-20.42698,64.8562,neutrophil,lung,True
raw,45424024,-43.322025,-0.8806323,fibroblast,colorectum,True
raw,45431447,-0.1688133,-47.578518,B cell,colorectum,True
raw,45187151,14.420981,34.222305,epithelial cell,ovary,False
raw,45190793,-21.494896,-20.028467,mononuclear phagocyte,ovary,False
raw,45178518,9.319006,-65.83189,mononuclear phagocyte,ovary,True
raw,45180024,34.968002,-62.075615,mononuclear phagocyte,ovary,True
raw,45181942,19.336348,-41.787006,T cell,ovary,True
raw,45444276,-45.909866,75.55587,neutrophil,lung,True
raw,45181892,-12.769759,-17.492302,T cell,ovary,True
raw,45174384,-9.199148,-39.113453,mast cell,colorectum,True
raw,45421713,22.992424,52.551033,B cell,colorectum,False
raw,45176237,37.96443,30.329353,endothelial cell,colorectum,True
raw,45175499,-73.934326,-26.198202,mononuclear phagocyte,colorectum,False
raw,45426114,52.232147,-52.73575,T cell,colorectum,True
raw,45181831,-10.998675,-21.027388,endothelial cell,ovary,True
raw,45385824,-19.499565,63.38055,neutrophil,lung,False
raw,45181817,-16.51107,-14.13774,endothelial cell,ovary,True
raw,45181711,-9.807324,-19.996136,T cell,ovary,True
raw,45179099,-26.142546,-33.120995,mononuclear phagocyte,ovary,True
raw,45197538,37.749645,33.663704,T cell,ovary,True
raw,45174471,5.2412887,-35.418354,endothelial cell,colorectum,True
raw,45420718,-19.780367,19.735111,fibroblast,colorectum,False
raw,45182769,44.350983,-19.638838,epithelial cell,ovary,False
raw,45179066,16.346785,-5.6011605,mononuclear phagocyte,ovary,True
raw,45430415,28.04946,36.37481,B cell,colorectum,False
raw,45428785,-34.895885,0.6245438,endothelial cell,colorectum,False
raw,45188169,12.256823,-21.8137,endothelial cell,ovary,False
raw,45433595,-53.384495,-7.6016693,endothelial cell,colorectum,False
raw,45179965,30.582933,12.4685545,T cell,ovary,True
raw,45174935,-55.32553,-28.363575,mast cell,colorectum,False
raw,45424303,-78.8706,31.32989,epithelial cell,colorectum,True
raw,45194183,65.23509,-13.265374,fibroblast,ovary,False
raw,45432249,8.590035,-39.16222,fibroblast,colorectum,False
raw,45186566,23.39076,-18.154175,epithelial cell,ovary,False
raw,45428563,32.80918,-37.118305,epithelial cell,colorectum,False
