cell_id,disease,quiescent_score,l2_score,module_negative,high_quiescent
45174350,normal,-0.06754640003192847,1.638,False,False
45174351,normal,-0.1285271220788756,1.4351,False,False
45174360,normal,-0.5275989174092857,1.9274,True,False
45174361,normal,-0.5275989174092857,1.2479,True,False
45174362,normal,0.7617794781736973,0.8911,False,True
45174363,normal,0.03049156164507636,1.7507,False,True
45174366,normal,-0.2313903274276763,2.0952,False,False
45174368,normal,-0.2719421012060265,0.6412,False,False
45174371,normal,0.06102470622568128,0.172,False,True
45174373,normal,0.19393275344402344,1.0716,False,True
45174385,normal,-0.23969773532918826,1.4364,False,False
45174394,normal,2.157115732265516,-0.5014,False,True
45174396,normal,-0.031701679440076604,2.8177,False,False
45174397,normal,0.09635891508586722,3.201,False,True
45174400,normal,-0.21340784843250277,1.9662,False,False
45174401,normal,-0.5275989174092857,1.8059,True,False
45174402,normal,0.6696993465435808,0.9383,False,True
45174403,normal,-0.5275989174092857,3.1498,True,False
45174404,normal,-0.5275989174092857,1.8137,True,False
45174411,normal,-0.5275989174092857,2.0788,True,False
45174414,normal,0.9352721335314736,1.4787,False,True
45174417,normal,-0.21160947243058592,-0.251,False,False
45174420,normal,-0.5275989174092857,0.5719,True,False
45174422,normal,0.08019953542226761,3.0456,False,True
45174425,normal,-0.2168859866840732,1.3956,False,False
45174435,normal,-0.18579164057865818,1.9709,False,False
45174457,normal,-0.5275989174092857,0.2609,True,False
45174462,normal,0.9624940518625811,0.561,False,True
45174463,normal,-0.4190140635673014,1.1764,False,False
45174467,normal,-0.08240417045820991,1.5995,False,False
45174472,normal,-0.33833327609081043,2.2968,False,False
45174475,normal,-0.4111186723316022,1.5007,False,False
45174477,normal,1.1792793809911741,1.8839,False,True
45174480,normal,0.11806604157150002,0.8683,False,True
45174481,normal,-0.32477101261684066,3.8411,False,False
45174482,normal,-0.5275989174092857,1.6352,True,False
45174486,normal,-0.01981077777414251,1.7231,False,False
45174499,normal,-0.5275989174092857,1.1927,True,False
45174511,normal,-0.3706135214210761,0.1769,False,False
