gene1,gene2,r
MGP,MGP,1.0
MGP,DCN,0.7308834352607526
MGP,OGN,0.6811154041598904
MGP,C3,0.5359523027713629
MGP,CCDC80,0.69798482594079
MGP,ADAMDEC1,-0.04144106754594069
MGP,CXCR4,-0.3215428569347667
MGP,CXCL14,0.016037520347766576
DCN,MGP,0.7308834352607526
DCN,DCN,1.0
DCN,OGN,0.6873473602253966
DCN,C3,0.629556985626982
DCN,CCDC80,0.7863768712795844
DCN,ADAMDEC1,0.2073781044630663
DCN,CXCR4,-0.26999972580150705
DCN,CXCL14,0.2476853479279481
OGN,MGP,0.6811154041598904
OGN,DCN,0.6873473602253966
OGN,OGN,1.0
OGN,C3,0.553979184004763
OGN,CCDC80,0.6874213089933079
OGN,ADAMDEC1,-0.03965676880490465
OGN,CXCR4,-0.21361831389808447
OGN,CXCL14,-0.01723257111797787
C3,MGP,0.5359523027713629
C3,DCN,0.629556985626982
C3,OGN,0.553979184004763
C3,C3,1.0
C3,CCDC80,0.6562606289672431
C3,ADAMDEC1,-0.023040659107979797
C3,CXCR4,-0.19411443490986013
C3,CXCL14,0.1289196434560077
CCDC80,MGP,0.69798482594079
CCDC80,DCN,0.7863768712795844
CCDC80,OGN,0.6874213089933079
CCDC80,C3,0.6562606289672431
CCDC80,CCDC80,1.0
CCDC80,ADAMDEC1,0.09702620853076142
CCDC80,CXCR4,-0.2729849785386066
CCDC80,CXCL14,0.1302666274389349
ADAMDEC1,MGP,-0.04144106754594069
ADAMDEC1,DCN,0.2073781044630663
ADAMDEC1,OGN,-0.03965676880490465
ADAMDEC1,C3,-0.023040659107979797
ADAMDEC1,CCDC80,0.09702620853076142
ADAMDEC1,ADAMDEC1,1.0
ADAMDEC1,CXCR4,-0.07139043736768122
ADAMDEC1,CXCL14,0.5771864094889407
CXCR4,MGP,-0.3215428569347667
CXCR4,DCN,-0.26999972580150705
CXCR4,OGN,-0.21361831389808447
CXCR4,C3,-0.19411443490986013
CXCR4,CCDC80,-0.2729849785386066
CXCR4,ADAMDEC1,-0.07139043736768122
CXCR4,CXCR4,1.0
CXCR4,CXCL14,-0.07472509536704952
CXCL14,MGP,0.016037520347766576
CXCL14,DCN,0.2476853479279481
CXCL14,OGN,-0.01723257111797787
CXCL14,C3,0.1289196434560077
CXCL14,CCDC80,0.1302666274389349
CXCL14,ADAMDEC1,0.5771864094889407
CXCL14,CXCR4,-0.07472509536704952
CXCL14,CXCL14,1.0
