gene,gene_name,log2fc,cav_r,pair
ENSG00000211592,IGKC,1.265710479077415,0.237784748950087,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000211895,IGHA1,0.9488480689421144,0.210497379020296,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000165949,IFI27,-0.6177266833677952,-0.0993189190157726,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000132465,JCHAIN,0.5880500020227099,0.184375188724491,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000163191,S100A11,-0.5843115386307174,-0.1742754391664948,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000170421,KRT8,-0.5732518697310235,-0.0103507641951359,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000182718,ANXA2,-0.5720476052833764,-0.1997206734804213,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000102265,TIMP1,-0.4953688666510419,-0.294263284190409,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000111057,KRT18,-0.4843828342960486,-0.0313221840076366,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000243449,NICOL1,-0.4663130071242608,-0.0553347802270521,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000197956,S100A6,-0.4624082374362247,-0.1496841546629508,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000171345,KRT19,-0.4481802077054078,-0.041126642063232,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000211677,IGLC2,0.4424592466418106,0.1145251289222866,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000142089,IFITM3,-0.4132176139368275,-0.2345414842856532,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000251562,MALAT1,0.4063566990027987,-0.0089792926697709,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000177606,JUN,0.4054628906926916,0.0417436769713498,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000163993,S100P,-0.4043018763524104,-0.0263627622125319,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000169429,CXCL8,-0.4032759824630054,-0.0935253223338792,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000106541,AGR2,-0.4011179186235532,0.0073708376803415,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000136810,TXN,-0.3990164082158484,-0.0310765323283776,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000067225,PKM,-0.3965007917183628,-0.0924066111004379,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000134193,REG4,-0.3844305329886694,-0.0645582861869135,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000126709,IFI6,-0.3843238423872719,-0.1059750894144373,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000101439,CST3,-0.3734213095508193,-0.3250213912155129,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000187608,ISG15,-0.3652849175365326,-0.0401432328826074,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000167644,C19orf33,-0.3590949354357414,-0.0262043986833251,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000135404,CD63,-0.3574799359909281,-0.2734180155877119,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000034510,TMSB10,-0.355888564908064,-0.0543928786891379,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000084207,GSTP1,-0.3558387683209613,-0.1570684888251142,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000090382,LYZ,-0.3449556768830941,-0.1427635107230107,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000132963,POMP,-0.3422235010482671,-0.0690422457585102,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000164405,UQCRQ,-0.3348329005197684,-0.0272313336341081,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000130066,SAT1,-0.3303734538239071,-0.1236920696721255,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000149925,ALDOA,-0.3230166156818413,-0.0830221677908823,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000174748,RPL15,0.3180206461472394,0.0271049491647644,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000158869,FCER1G,-0.3157493681979146,-0.114172746047443,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000126267,COX6B1,-0.3149162317538603,-0.0197596725056239,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000087086,FTL,-0.3107191822087743,-0.1450601022323694,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000103363,ELOB,-0.3059477016681355,-0.0682085897534746,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000089356,FXYD3,-0.3051616396494722,0.0394263700809486,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000171863,RPS7,0.3035102316381632,0.0892278123423537,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000011600,TYROBP,-0.2989523807309742,-0.1081015286181689,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000157514,TSC22D3,0.2955875899333425,0.0966541298952767,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000211679,IGLC3,0.291204891814382,0.0847501177578135,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000211897,IGHG3,0.2911348857128844,0.0528370559968635,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000164733,CTSB,-0.2896959055297515,-0.1464142611730407,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000100300,TSPO,-0.2896446817150984,-0.125316536131796,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000211892,IGHG4,0.2896359836466025,0.0380360661593025,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000160180,TFF3,-0.2878258270584765,0.0093852733767684,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000169442,CD52,0.2860041688715786,0.1527359773335278,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000127324,TSPAN8,-0.2850492013546976,0.0422228561237656,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000111669,TPI1,-0.2848978832255306,-0.0538565456316195,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000148346,LCN2,-0.2816250139250433,-0.0593254621855788,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000110492,MDK,-0.2792214245057327,-0.1006601911324496,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000152518,ZFP36L2,0.2769209944001414,0.0042356761181287,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000213741,RPS29,0.2766323209723233,0.131549004098874,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000163220,S100A9,-0.2753717810522423,-0.040923914524827,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000233276,GPX1,-0.275203746195038,-0.126755027787285,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000197746,PSAP,-0.273105255304495,-0.2909353227013076,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000230989,HSBP1,-0.2726689638830731,-0.0782890188327915,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000142669,SH3BGRL3,-0.2717362895514544,-0.0272752499085104,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000099622,CIRBP,0.2711183807041816,-0.0039769232271601,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000197747,S100A10,-0.2663365847187353,-0.1362471700225366,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000111640,GAPDH,-0.2639891584713251,-0.0324279255138176,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000167642,SPINT2,-0.2636345374420631,-0.0310961783929785,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000204592,HLA-E,0.2616760452788124,0.1096983119740442,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000156508,EEF1A1,0.2563598500184992,0.1034831370909056,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000227507,LTB,0.2556099355430866,0.1917203723428701,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000181019,NQO1,-0.2541558878239035,-0.0462197307075688,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000105373,NOP53,0.2516710133286624,-0.0039565347940158,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000167996,FTH1,-0.2515506955328033,-0.1076318443952654,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000092841,MYL6,-0.2472175538278338,-0.0098323102954103,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000134333,LDHA,-0.2446392203078217,-0.128578116407634,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000172270,BSG,-0.2423854714432113,-0.1096956071294206,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000136156,ITM2B,-0.2422953087686416,-0.1573893867802449,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000075624,ACTB,-0.241092879775041,-0.0367215487589752,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000231500,RPS18,0.2403380280625271,0.0616576334618617,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000135821,GLUL,-0.2402308003122682,-0.2084251421493202,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000124614,RPS10,0.2377222783047242,0.1007095732876272,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000133639,BTG1,0.2356614931981002,0.1096698963367352,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000100316,RPL3,0.2353591530701269,0.0357512351201734,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000139644,TMBIM6,-0.234834898200955,-0.0754124354075067,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000118181,RPS25,0.2318626938406544,0.0641184742546151,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000131981,LGALS3,-0.2316972658578247,-0.1082392659369419,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000204472,AIF1,-0.2281703689452293,-0.091199116403537,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000198899,MT-ATP6,0.2275566152388923,0.0261929432671859,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000120708,TGFBI,-0.2273180940919651,-0.0408813689779641,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000160213,CSTB,-0.2269316946187119,-0.0849012702317313,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000106211,HSPB1,-0.2264571427408054,-0.1565175380318368,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000051523,CYBA,-0.2260677947741438,0.0038850015665427,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000233041,PHGR1,-0.2256172529317951,0.0858186307454124,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000167658,EEF2,0.221634057705154,-0.0399573903318865,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000171747,LGALS4,-0.2201829333690025,0.0965809796194237,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000175130,MARCKSL1,-0.2198853466999891,0.0280686084477133,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000234745,HLA-B,-0.2184430927786457,0.0927415612356132,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000102879,CORO1A,0.216417861786507,0.168938065700293,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000111775,COX6A1,-0.2163559115857185,-0.0263191685552617,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000128245,YWHAH,-0.2150595613487136,-0.115884418385597,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000160932,LY6E,-0.2145033448783602,-0.172775247925452,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000167553,TUBA1C,-0.2137794242788446,-0.0337816277119923,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000075415,SLC25A3,-0.2132781255950935,-0.0664161417567202,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000123416,TUBA1B,-0.2129476670507323,-0.0782762920198231,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000100650,SRSF5,0.2129372613544188,-0.0306424715500819,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000130592,LSP1,0.2125681843058526,0.1025227591262217,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000025708,TYMP,-0.2112195412238015,-0.1013505823642802,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000176340,COX8A,-0.2093019204646362,-0.0195115000061211,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000168028,RPSA,0.2080351522288023,0.083558353203769,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000011422,PLAUR,-0.2072948325961447,-0.1208399797223939,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000114391,RPL24,0.2061342941742797,-0.051440495754121,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000196683,TOMM7,0.2044326379767883,-0.0162926044333407,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000117091,CD48,0.2034924063848899,0.1275853188215613,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000166598,HSP90B1,-0.2034788453351968,-0.0942560950567151,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000156411,ATP5MJ,-0.2020643801934486,-0.0248911687223456,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000166794,PPIB,-0.2018240949821695,-0.0967434780840422,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000119888,EPCAM,-0.2006720776882161,0.0260216356328902,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000117472,TSPAN1,-0.2006577554220503,-0.0222863820209478,fibroblast__colorectum__normal_vs_colorectal_cancer
