label,cav_score,llr
positive,3.9509,5.0959
positive,4.6939,8.2031
positive,4.6169,7.8695
positive,6.5504,17.0589
positive,4.1434,5.8770
positive,5.9634,14.0905
positive,4.6924,8.1969
positive,5.0543,9.8004
positive,4.4489,7.1510
positive,6.7709,18.2145
positive,4.7225,8.3279
positive,5.1435,10.2047
positive,3.7700,4.3773
positive,5.4914,11.8166
positive,4.1517,5.9110
positive,4.4621,7.2069
positive,4.2917,6.4900
positive,5.0420,9.7449
positive,4.8619,8.9404
positive,4.5395,7.5370
positive,5.3572,11.1882
positive,5.0344,9.7105
positive,5.8602,13.5848
positive,4.7666,8.5208
positive,4.5572,7.6127
positive,7.0345,19.6247
positive,4.3198,6.6074
positive,7.0979,19.9683
positive,6.6055,17.3458
positive,5.3131,10.9837
positive,5.6448,12.5443
positive,5.8483,13.5264
positive,5.5996,12.3289
positive,6.2218,15.3779
positive,5.2089,10.5038
positive,4.6231,7.8964
positive,4.7049,8.2510
positive,4.4776,7.2730
positive,3.4802,6.4703
positive,3.3269,5.9907
positive,-0.3629,-25.4395
positive,3.3976,6.2202
positive,3.3583,6.0945
positive,1.8673,2.6180
positive,5.9429,43.9897
positive,5.1394,33.6183
positive,6.0745,45.7925
positive,5.4588,37.6107
positive,5.2505,34.9876
positive,5.9364,43.9019
positive,8.7837,89.3845
positive,8.4267,82.9323
positive,8.7608,88.9643
positive,6.6914,54.6312
positive,6.6668,54.2666
positive,7.0929,60.7282
positive,7.0515,60.0867
positive,5.9250,43.7468
positive,1.2388,-1.2705
positive,7.0309,59.7692
positive,6.5240,52.1689
positive,-2.4579,-10.6675
positive,8.6187,86.3762
positive,7.8610,73.1479
positive,7.5768,68.4373
positive,6.9542,58.5902
positive,8.0327,76.0608
positive,7.8958,73.7351
positive,7.3902,65.4168
positive,8.2354,79.5642
positive,7.0515,60.0867
positive,7.1131,61.0422
positive,0.1230,-11.4590
positive,3.6602,-1.8048
positive,11.0764,32.1444
positive,9.3844,22.7644
positive,11.0711,32.1135
positive,9.4056,22.8760
positive,8.5807,30.1646
positive,6.2270,14.8128
positive,7.6302,23.4746
positive,7.9740,25.8177
positive,7.1058,20.0677
positive,6.4467,16.0732
positive,8.4896,29.4952
positive,5.9801,13.4386
positive,6.2095,14.7139
positive,4.8835,7.8765
positive,8.2466,27.7378
positive,6.0265,13.6934
positive,1.8489,0.2372
positive,1.7055,-0.2178
positive,1.6444,-0.4284
positive,2.3737,1.4289
positive,2.4758,1.5745
positive,2.5541,1.6670
positive,2.7102,1.8023
positive,2.5233,1.6326
positive,1.8409,0.2132
positive,0.8927,-3.8444
positive,1.5606,-0.7337
positive,2.6364,1.7465
positive,4.1160,4.7324
positive,4.7357,6.5578
positive,4.1513,4.8357
positive,4.0096,4.4217
positive,4.1070,4.7060
positive,4.3309,5.3624
positive,4.9266,7.1255
positive,4.3374,5.3814
positive,4.8130,6.7872
positive,4.4060,5.5835
positive,4.2371,5.0870
positive,4.8033,6.7585
positive,4.8268,6.8283
positive,4.0731,4.6069
positive,4.4849,5.8158
positive,4.4735,5.7823
positive,4.3667,5.4678
positive,6.1853,10.9297
positive,6.2568,11.1489
positive,6.2028,10.9835
positive,4.9543,7.2080
positive,4.4627,5.7505
positive,5.1931,7.9218
positive,5.0636,7.5342
positive,5.4986,8.8409
positive,3.5830,3.1835
positive,4.2156,5.0240
positive,4.3017,5.2768
positive,4.2377,5.0889
positive,4.3460,5.4067
positive,4.4464,5.7024
positive,4.4388,5.6799
positive,4.4505,5.7143
positive,3.6557,3.3934
positive,4.5631,6.0469
positive,4.2435,5.1057
positive,5.6219,9.2135
positive,4.4702,5.7725
positive,4.1783,4.9148
positive,5.0849,7.5979
positive,4.1081,4.7093
positive,4.9226,7.1133
positive,4.1369,4.7935
positive,4.4228,5.6329
positive,4.9215,7.1101
positive,3.9032,4.1115
positive,5.0849,7.5979
positive,3.8471,3.9486
positive,1.1728,0.0648
positive,1.1040,-0.0518
positive,1.1789,0.0751
positive,0.8970,-0.3967
positive,0.7151,-0.6929
positive,-0.0434,-1.8581
positive,1.5905,0.7921
positive,1.0163,-69.8132
positive,1.5134,-49.7582
positive,0.7322,-82.2279
positive,3.3913,6.9085
positive,4.0377,19.4253
positive,4.4042,24.9314
positive,5.3978,34.0748
positive,3.3657,5.8976
positive,3.0937,5.1698
positive,3.3175,5.7795
positive,3.4793,6.1576
positive,3.4819,6.1632
positive,2.8706,4.4612
positive,3.1052,5.2034
positive,3.2523,5.6124
positive,3.3771,5.9251
positive,3.3874,5.9494
positive,3.0428,5.0169
positive,8.4178,34.0185
positive,-1.4436,-20.2935
positive,8.8913,38.3296
positive,8.8297,37.7591
positive,10.5564,54.7292
positive,2.6763,-5.8367
positive,11.3521,63.2472
positive,9.3009,42.1844
positive,10.2050,51.1077
positive,9.8326,47.3628
positive,7.3598,24.9496
positive,8.4646,34.4368
positive,10.9123,58.4849
positive,2.0716,-23.5738
positive,4.2525,29.2502
positive,3.8186,20.1916
positive,1.0628,-54.1664
positive,1.8796,-29.0947
positive,3.3863,10.4506
positive,0.5418,-71.4918
positive,1.2191,-49.1716
positive,1.1153,-52.4775
positive,1.1056,-52.7891
positive,1.1475,-51.4489
positive,1.9690,-26.5068
positive,2.2586,-18.3293
positive,1.7380,-33.2598
positive,1.4558,-41.7845
positive,1.8175,-30.9116
positive,1.5735,-38.1903
positive,0.8560,-60.9175
positive,5.0501,44.0223
positive,1.5368,-39.3058
positive,2.1995,-19.9716
positive,1.6541,-35.7609
positive,2.0821,-23.2747
positive,1.2869,-47.0324
positive,-0.1797,-97.2010
positive,4.5317,34.6993
positive,4.2682,29.5649
positive,2.7681,0.7597
positive,3.6739,2.4078
positive,4.4652,3.5190
positive,4.8061,3.9032
positive,3.8184,2.6336
positive,3.7962,2.5996
positive,4.1595,3.1260
positive,3.5788,2.2538
positive,3.7141,2.4717
positive,4.8893,3.9883
positive,4.8602,3.9589
positive,4.8437,3.9420
positive,3.9164,2.7810
positive,3.6242,2.3279
positive,3.8162,2.6302
positive,3.9523,2.8338
positive,4.3395,3.3629
positive,4.0371,2.9559
positive,3.5984,2.2859
positive,4.7024,3.7923
positive,4.5254,3.5909
