recall,cav_precision,cav_precision_sd,tool_precision,tool_precision_sd
0.0000,0.9316,0.2524,0.9924,0.0868
0.0100,0.9289,0.2418,0.9893,0.0804
0.0200,0.9261,0.2338,0.9862,0.0752
0.0300,0.9227,0.2292,0.9828,0.0730
0.0400,0.9210,0.2247,0.9792,0.0734
0.0500,0.9173,0.2241,0.9756,0.0743
0.0600,0.9176,0.2219,0.9719,0.0757
0.0700,0.9137,0.2217,0.9695,0.0729
0.0800,0.9137,0.2197,0.9657,0.0739
0.0900,0.9107,0.2198,0.9619,0.0753
0.1000,0.9119,0.2178,0.9581,0.0771
0.1100,0.9092,0.2195,0.9541,0.0792
0.1200,0.9051,0.2222,0.9499,0.0816
0.1300,0.9056,0.2196,0.9458,0.0840
0.1400,0.9037,0.2217,0.9414,0.0862
0.1500,0.9041,0.2222,0.9378,0.0862
0.1600,0.9023,0.2237,0.9337,0.0884
0.1700,0.8988,0.2258,0.9300,0.0863
0.1800,0.8969,0.2270,0.9257,0.0871
0.1900,0.8955,0.2268,0.9211,0.0883
0.2000,0.8975,0.2280,0.9162,0.0912
0.2100,0.8947,0.2279,0.9114,0.0924
0.2200,0.8914,0.2288,0.9066,0.0937
0.2300,0.8899,0.2263,0.9017,0.0953
0.2400,0.8868,0.2282,0.8968,0.0971
0.2500,0.8831,0.2280,0.8919,0.0990
0.2600,0.8796,0.2297,0.8868,0.1011
0.2700,0.8762,0.2319,0.8816,0.1033
0.2800,0.8738,0.2343,0.8764,0.1055
0.2900,0.8737,0.2337,0.8702,0.1081
0.3000,0.8723,0.2327,0.8649,0.1102
0.3100,0.8685,0.2346,0.8596,0.1123
0.3200,0.8642,0.2373,0.8543,0.1145
0.3300,0.8601,0.2405,0.8490,0.1167
0.3400,0.8570,0.2400,0.8426,0.1188
0.3500,0.8532,0.2427,0.8370,0.1207
0.3600,0.8487,0.2458,0.8314,0.1227
0.3700,0.8449,0.2501,0.8258,0.1247
0.3800,0.8403,0.2535,0.8201,0.1268
0.3900,0.8360,0.2570,0.8145,0.1289
0.4000,0.8505,0.2460,0.8088,0.1311
0.4100,0.8464,0.2473,0.8028,0.1331
0.4200,0.8420,0.2497,0.7972,0.1355
0.4300,0.8431,0.2446,0.7911,0.1375
0.4400,0.8395,0.2458,0.7849,0.1394
0.4500,0.8351,0.2479,0.7787,0.1414
0.4600,0.8323,0.2494,0.7724,0.1433
0.4700,0.8292,0.2512,0.7664,0.1456
0.4800,0.8248,0.2534,0.7601,0.1476
0.4900,0.8208,0.2561,0.7538,0.1497
0.5000,0.8258,0.2529,0.7474,0.1519
0.5100,0.8207,0.2540,0.7407,0.1537
0.5200,0.8161,0.2557,0.7341,0.1555
0.5300,0.8113,0.2581,0.7271,0.1573
0.5400,0.8066,0.2611,0.7204,0.1592
0.5500,0.8026,0.2641,0.7135,0.1609
0.5600,0.7969,0.2687,0.7065,0.1625
0.5700,0.7922,0.2719,0.6995,0.1641
0.5800,0.7871,0.2728,0.6924,0.1656
0.5900,0.7822,0.2759,0.6853,0.1672
0.6000,0.7762,0.2784,0.6775,0.1681
0.6100,0.7719,0.2797,0.6701,0.1694
0.6200,0.7669,0.2813,0.6627,0.1707
0.6300,0.7658,0.2801,0.6552,0.1717
0.6400,0.7609,0.2808,0.6475,0.1727
0.6500,0.7569,0.2820,0.6398,0.1737
0.6600,0.7519,0.2839,0.6321,0.1747
0.6700,0.7503,0.2799,0.6248,0.1764
0.6800,0.7441,0.2808,0.6168,0.1771
0.6900,0.7384,0.2822,0.6088,0.1778
0.7000,0.7354,0.2840,0.6009,0.1786
0.7100,0.7291,0.2861,0.5926,0.1790
0.7200,0.7227,0.2869,0.5847,0.1800
0.7300,0.7166,0.2883,0.5763,0.1801
0.7400,0.7095,0.2900,0.5677,0.1799
0.7500,0.7075,0.2905,0.5590,0.1798
0.7600,0.6999,0.2915,0.5502,0.1795
0.7700,0.6924,0.2934,0.5414,0.1793
0.7800,0.6858,0.2930,0.5325,0.1791
0.7900,0.6773,0.2936,0.5236,0.1790
0.8000,0.6774,0.2929,0.5146,0.1789
0.8100,0.6672,0.2924,0.5049,0.1773
0.8200,0.6572,0.2924,0.4953,0.1758
0.8300,0.6476,0.2923,0.4856,0.1746
0.8400,0.6419,0.2888,0.4758,0.1733
0.8500,0.6296,0.2853,0.4659,0.1719
0.8600,0.6228,0.2816,0.4560,0.1708
0.8700,0.6076,0.2780,0.4460,0.1696
0.8800,0.5939,0.2710,0.4359,0.1686
0.8900,0.5789,0.2655,0.4258,0.1676
0.9000,0.5607,0.2585,0.4157,0.1669
0.9100,0.5442,0.2509,0.4055,0.1665
0.9200,0.5251,0.2428,0.3951,0.1656
0.9300,0.5059,0.2353,0.3844,0.1645
0.9400,0.4841,0.2254,0.3736,0.1630
0.9500,0.4613,0.2150,0.3626,0.1617
0.9600,0.4371,0.2036,0.3514,0.1602
0.9700,0.4132,0.1944,0.3401,0.1593
0.9800,0.3885,0.1871,0.3288,0.1593
0.9900,0.3632,0.1814,0.3174,0.1602
1.0000,0.4623,0.2291,0.3037,0.1585
