go_term,val_cav_score,llr,tool_score,test_pos_percentile,test_neg_percentile
GO:0000124,3.9509,5.0959,0.5510,18.1818,95.8333
GO:0000124,4.6939,8.2031,0.1120,27.2727,100.0000
GO:0000124,4.6169,7.8695,0.3220,27.2727,100.0000
GO:0000124,6.5504,17.0589,0.5140,63.6364,100.0000
GO:0000124,4.1434,5.8770,0.0000,18.1818,95.8333
GO:0000124,5.9634,14.0905,0.6590,63.6364,100.0000
GO:0000124,4.6924,8.1969,0.7310,27.2727,100.0000
GO:0000124,5.0543,9.8004,0.3690,45.4545,100.0000
GO:0000124,4.4489,7.1510,0.1800,18.1818,100.0000
GO:0000124,6.7709,18.2145,0.7070,72.7273,100.0000
GO:0000124,4.7225,8.3279,0.0000,27.2727,100.0000
GO:0000124,5.1435,10.2047,0.3420,45.4545,100.0000
GO:0000124,3.7700,4.3773,0.0000,18.1818,95.8333
GO:0000124,5.4914,11.8166,0.5480,45.4545,100.0000
GO:0000124,4.1517,5.9110,0.6480,18.1818,95.8333
GO:0000124,4.4621,7.2069,0.0000,18.1818,100.0000
GO:0000124,4.2917,6.4900,0.0000,18.1818,95.8333
GO:0000124,5.0420,9.7449,0.2290,45.4545,100.0000
GO:0000124,4.8619,8.9404,0.6230,27.2727,100.0000
GO:0000124,4.5395,7.5370,0.0000,27.2727,100.0000
GO:0000124,5.3572,11.1882,0.5930,45.4545,100.0000
GO:0000124,5.0344,9.7105,0.7160,45.4545,100.0000
GO:0000124,5.8602,13.5848,0.5110,63.6364,100.0000
GO:0000124,4.7666,8.5208,0.6630,27.2727,100.0000
GO:0000124,4.5572,7.6127,0.1110,27.2727,100.0000
GO:0000124,7.0345,19.6247,0.6330,90.9091,100.0000
GO:0000124,4.3198,6.6074,0.2090,18.1818,100.0000
GO:0000124,7.0979,19.9683,0.3400,100.0000,100.0000
GO:0000124,6.6055,17.3458,0.5190,72.7273,100.0000
GO:0000124,5.3131,10.9837,0.6960,45.4545,100.0000
GO:0000124,5.6448,12.5443,0.6590,54.5455,100.0000
GO:0000124,5.8483,13.5264,0.0000,63.6364,100.0000
GO:0000124,5.5996,12.3289,0.0000,45.4545,100.0000
GO:0000124,6.2218,15.3779,0.1160,63.6364,100.0000
GO:0000124,5.2089,10.5038,0.5050,45.4545,100.0000
GO:0000124,4.6231,7.8964,0.1970,27.2727,100.0000
GO:0000124,4.7049,8.2510,0.0000,27.2727,100.0000
GO:0000124,4.4776,7.2730,0.5090,27.2727,100.0000
GO:0000152,3.4802,6.4703,0.0000,50.0000,100.0000
GO:0000152,3.3269,5.9907,0.0000,28.5714,100.0000
GO:0000152,-0.3629,-25.4395,0.0000,0.0000,33.9623
GO:0000152,3.3976,6.2202,0.0000,35.7143,100.0000
GO:0000152,3.3583,6.0945,0.0000,32.1429,100.0000
GO:0000159,1.8673,2.6180,0.0000,8.3333,100.0000
GO:0000159,5.9429,43.9897,0.1890,16.6667,100.0000
GO:0000159,5.1394,33.6183,0.0000,8.3333,100.0000
GO:0000159,6.0745,45.7925,0.1830,25.0000,100.0000
GO:0000159,5.4588,37.6107,0.2530,8.3333,100.0000
GO:0000159,5.2505,34.9876,0.2070,8.3333,100.0000
GO:0000159,5.9364,43.9019,0.1850,16.6667,100.0000
GO:0000159,8.7837,89.3845,0.2840,100.0000,100.0000
GO:0000159,8.4267,82.9323,0.3440,100.0000,100.0000
GO:0000159,8.7608,88.9643,0.3420,100.0000,100.0000
GO:0000159,6.6914,54.6312,0.2950,33.3333,100.0000
GO:0000159,6.6668,54.2666,0.0000,33.3333,100.0000
GO:0000159,7.0929,60.7282,0.0000,33.3333,100.0000
GO:0000159,7.0515,60.0867,0.3060,33.3333,100.0000
GO:0000159,5.9250,43.7468,0.1810,16.6667,100.0000
GO:0000159,1.2388,-1.2705,0.0000,8.3333,100.0000
GO:0000159,7.0309,59.7692,0.0000,33.3333,100.0000
GO:0000159,6.5240,52.1689,0.3760,25.0000,100.0000
GO:0000159,-2.4579,-10.6675,0.0000,0.0000,0.0000
GO:0000159,8.6187,86.3762,0.4160,100.0000,100.0000
GO:0000159,7.8610,73.1479,0.0000,83.3333,100.0000
GO:0000159,7.5768,68.4373,0.0000,83.3333,100.0000
GO:0000159,6.9542,58.5902,0.0000,33.3333,100.0000
GO:0000159,8.0327,76.0608,0.1650,100.0000,100.0000
GO:0000159,7.8958,73.7351,0.0000,91.6667,100.0000
GO:0000159,7.3902,65.4168,0.0000,66.6667,100.0000
GO:0000159,8.2354,79.5642,0.1680,100.0000,100.0000
GO:0000159,7.0515,60.0867,0.3060,33.3333,100.0000
GO:0000159,7.1131,61.0422,0.1860,41.6667,100.0000
GO:0000177,0.1230,-11.4590,0.0000,0.0000,30.0000
GO:0000177,3.6602,-1.8048,0.0000,0.0000,100.0000
GO:0000177,11.0764,32.1444,0.0000,80.0000,100.0000
GO:0000177,9.3844,22.7644,0.0000,50.0000,100.0000
GO:0000177,11.0711,32.1135,0.0000,80.0000,100.0000
GO:0000177,9.4056,22.8760,0.0000,50.0000,100.0000
GO:0000178,8.5807,30.1646,0.6790,100.0000,100.0000
GO:0000178,6.2270,14.8128,0.6080,60.0000,100.0000
GO:0000178,7.6302,23.4746,0.6500,100.0000,100.0000
GO:0000178,7.9740,25.8177,0.6960,100.0000,100.0000
GO:0000178,7.1058,20.0677,0.6600,93.3333,100.0000
GO:0000178,6.4467,16.0732,0.1410,80.0000,100.0000
GO:0000178,8.4896,29.4952,0.7270,100.0000,100.0000
GO:0000178,5.9801,13.4386,0.4580,46.6667,100.0000
GO:0000178,6.2095,14.7139,0.5880,53.3333,100.0000
GO:0000178,4.8835,7.8765,0.2380,33.3333,100.0000
GO:0000178,8.2466,27.7378,0.7580,100.0000,100.0000
GO:0000178,6.0265,13.6934,0.0000,53.3333,100.0000
GO:0000228,1.8489,0.2372,0.0000,3.7037,76.1905
GO:0000228,1.7055,-0.2178,0.0000,3.7037,73.0159
GO:0000228,1.6444,-0.4284,0.0000,3.7037,71.4286
GO:0000228,2.3737,1.4289,0.0000,29.6296,87.3016
GO:0000228,2.4758,1.5745,0.0000,33.3333,95.2381
GO:0000228,2.5541,1.6670,0.3170,44.4444,96.8254
GO:0000228,2.7102,1.8023,0.0000,48.1481,98.4127
GO:0000228,2.5233,1.6326,0.0000,44.4444,96.8254
GO:0000228,1.8409,0.2132,0.0000,3.7037,76.1905
GO:0000228,0.8927,-3.8444,0.0000,3.7037,39.6825
GO:0000228,1.5606,-0.7337,0.1900,3.7037,66.6667
GO:0000228,2.6364,1.7465,0.1040,48.1481,98.4127
GO:0000307,4.1160,4.7324,0.0000,28.1250,100.0000
GO:0000307,4.7357,6.5578,0.3070,46.8750,100.0000
GO:0000307,4.1513,4.8357,0.4800,28.1250,100.0000
GO:0000307,4.0096,4.4217,0.2870,15.6250,100.0000
GO:0000307,4.1070,4.7060,0.0000,25.0000,100.0000
