go_term,val_cav_score,llr,tool_score,test_pos_percentile,test_neg_percentile
GO:0000155,3.5996,6.2115,0.1450,62.5000,100.0000
GO:0000155,3.2218,5.2596,0.1560,37.5000,100.0000
GO:0000155,3.1413,4.9408,0.1010,37.5000,100.0000
GO:0000155,3.7861,6.3513,0.5190,75.0000,100.0000
GO:0000155,3.9724,6.2729,0.3320,87.5000,100.0000
GO:0000155,3.8413,6.3508,0.2410,75.0000,100.0000
GO:0000155,3.7805,6.3503,0.2920,75.0000,100.0000
GO:0000175,6.0678,9.9027,0.0000,66.6667,100.0000
GO:0000175,1.4733,-8.6218,0.0000,0.0000,81.1321
GO:0000175,5.5750,8.4913,0.0000,48.1481,100.0000
GO:0000175,5.3320,7.7443,0.0000,37.0370,100.0000
GO:0000175,5.5916,8.5411,0.0000,51.8519,100.0000
GO:0000175,5.5913,8.5400,0.0000,51.8519,100.0000
GO:0000175,1.7600,-7.1143,0.0000,0.0000,88.6792
GO:0000175,5.3320,7.7443,0.0000,37.0370,100.0000
GO:0000175,0.8606,-12.0005,0.0000,0.0000,71.6981
GO:0000175,1.4929,-8.5174,0.0000,0.0000,81.1321
GO:0000400,3.0309,0.8655,0.0000,10.0000,100.0000
GO:0000400,0.9720,-9.9318,0.0000,0.0000,70.0000
GO:0000400,2.8336,0.0441,0.0000,10.0000,100.0000
GO:0000400,4.7647,6.1392,0.0000,70.0000,100.0000
GO:0000400,1.1855,-8.5834,0.0000,0.0000,70.0000
GO:0000400,4.0878,4.4956,0.0000,10.0000,100.0000
GO:0000979,2.9172,1.7657,0.0000,16.6667,100.0000
GO:0000979,1.2987,-5.0719,0.0000,0.0000,83.3333
GO:0000979,1.7219,-3.0271,0.0000,0.0000,83.3333
GO:0000979,4.6316,6.1042,0.1460,83.3333,100.0000
GO:0000979,2.8998,1.7064,0.0000,16.6667,100.0000
GO:0000993,3.3183,1.7943,0.0000,36.3636,100.0000
GO:0000993,2.0413,0.4672,0.0000,13.6364,86.3636
GO:0000993,3.5118,1.9387,0.0000,63.6364,100.0000
GO:0000993,2.2024,0.6705,0.0000,13.6364,88.6364
GO:0000993,3.0238,1.5461,0.0000,18.1818,95.4545
GO:0000993,1.0261,-1.0529,0.0000,13.6364,59.0909
GO:0001046,-0.1715,-2.6263,0.0000,5.5556,27.0270
GO:0001046,2.1711,0.8203,0.0000,16.6667,94.5946
GO:0001046,2.1653,0.8112,0.0000,16.6667,94.5946
GO:0001046,1.5731,-0.1044,0.0000,11.1111,83.7838
GO:0001046,1.0412,-0.9010,0.0000,11.1111,67.5676
GO:0001091,3.8078,4.9875,0.0000,33.3333,100.0000
GO:0001091,3.8950,5.2195,0.0000,33.3333,100.0000
GO:0001091,3.8147,5.0075,0.1250,33.3333,100.0000
GO:0001091,2.8763,-0.5080,0.0000,0.0000,91.6667
GO:0001091,3.8852,5.1959,0.0000,33.3333,100.0000
GO:0001091,3.8815,5.1867,0.0000,33.3333,100.0000
GO:0001091,1.6814,-15.6360,0.0000,0.0000,83.3333
GO:0001221,0.7976,-15.3060,0.0000,0.0000,56.0000
GO:0001221,2.1982,-1.5720,0.0000,8.3333,92.0000
GO:0001221,1.6468,-6.1136,0.0000,0.0000,80.0000
GO:0001221,1.4952,-7.5594,0.0000,0.0000,80.0000
GO:0001221,0.1978,-23.4054,0.0000,0.0000,44.0000
GO:0001221,3.3410,4.2623,0.1230,33.3333,100.0000
GO:0001223,4.3497,6.1822,0.2140,66.6667,100.0000
GO:0001223,0.4853,-6.3100,0.0000,0.0000,66.6667
GO:0001223,3.7000,4.3731,0.1230,16.6667,100.0000
GO:0001223,1.0912,-4.0763,0.0000,0.0000,83.3333
GO:0001223,0.9767,-4.4906,0.0000,0.0000,83.3333
GO:0001223,3.2629,3.0896,0.0000,16.6667,100.0000
GO:0001223,0.3495,-6.8246,0.0000,0.0000,58.3333
GO:0001223,0.9751,-4.4962,0.0000,0.0000,83.3333
GO:0001223,3.3298,3.2894,0.0000,16.6667,100.0000
GO:0001223,0.3264,-6.9125,0.0000,0.0000,50.0000
GO:0001223,-0.4724,-10.0489,0.0000,0.0000,8.3333
GO:0001223,6.9353,12.2174,0.0000,100.0000,100.0000
GO:0001223,3.3437,3.3309,0.0000,16.6667,100.0000
GO:0001223,1.4748,-2.7149,0.0000,0.0000,83.3333
GO:0001223,0.9792,-4.4814,0.0000,0.0000,83.3333
GO:0001223,4.3913,6.2942,0.0000,66.6667,100.0000
GO:0001223,-0.3279,-9.4685,0.0000,0.0000,16.6667
GO:0001223,1.4969,-2.6376,0.0000,0.0000,83.3333
GO:0001223,0.4627,-6.3949,0.0000,0.0000,66.6667
GO:0001223,0.8754,-4.8598,0.0000,0.0000,75.0000
GO:0001530,0.8869,-5.8436,0.0000,0.0000,85.1852
GO:0001530,-1.1790,-19.8137,0.0000,0.0000,14.8148
GO:0001530,3.0403,2.7861,0.0000,7.6923,96.2963
GO:0001530,2.9877,2.6476,0.0000,7.6923,96.2963
GO:0001530,4.3233,5.0489,0.0000,100.0000,100.0000
GO:0001530,-4.5145,-54.1338,0.0000,0.0000,0.0000
GO:0001530,4.2706,4.9983,0.0000,100.0000,100.0000
GO:0001671,1.9190,-2.2380,0.0000,0.0000,100.0000
GO:0001671,4.7358,12.4529,0.3400,91.6667,100.0000
GO:0001671,-1.8969,-31.8743,0.0000,0.0000,4.0000
GO:0001671,4.6157,11.9511,0.3310,75.0000,100.0000
GO:0001671,4.1636,9.9630,0.4500,50.0000,100.0000
GO:0001671,4.7060,12.3295,0.3200,91.6667,100.0000
GO:0001671,0.9155,-8.9462,0.0000,0.0000,84.0000
GO:0001671,4.4024,11.0327,0.2790,58.3333,100.0000
GO:0001671,4.7288,12.4239,0.3090,91.6667,100.0000
GO:0001786,1.1565,-16.7677,0.0000,0.0000,85.3659
GO:0001786,1.3590,-13.6712,0.0000,0.0000,90.2439
GO:0001786,1.4121,-12.8954,0.0000,0.0000,95.1220
GO:0001786,0.5235,-27.8746,0.0000,0.0000,56.0976
GO:0001786,-0.5644,-52.0103,0.0000,0.0000,19.5122
GO:0001786,4.5131,6.0216,0.2640,100.0000,100.0000
GO:0001786,0.5798,-26.7991,0.0000,0.0000,60.9756
GO:0001786,3.1502,4.0938,0.0000,0.0000,100.0000
GO:0001786,3.1442,4.0630,0.0000,0.0000,100.0000
GO:0001786,4.6407,5.6894,0.4290,100.0000,100.0000
