ec_number,n_proteins,tool,recall
1.1.99,1,CAV,1.0000
1.1.99,1,deepectransformer-regular,0.0000
1.1.99,1,deepectransformer-learnt,0.0000
1.1.99,1,ecrecer,0.0000
1.1.99,1,clean-supcon,0.0000
1.1.99,1,enzbert-regular,0.0000
1.1.99,1,enzbert-learnt,0.0000
1.1.99,1,proteinbert-regular,0.0000
1.1.99,1,proteinbert-learnt,0.0000
1.1.99,1,stacked,1.0000
1.1.99,1,majority-voting-regular,0.0000
1.1.99,1,majority-voting-learnt,0.0000
1.1.99,1,species,0.0000
1.14.18,1,CAV,1.0000
1.14.18,1,deepectransformer-regular,0.0000
1.14.18,1,deepectransformer-learnt,0.0000
1.14.18,1,ecrecer,1.0000
1.14.18,1,clean-supcon,1.0000
1.14.18,1,enzbert-regular,0.0000
1.14.18,1,enzbert-learnt,0.0000
1.14.18,1,proteinbert-regular,0.0000
1.14.18,1,proteinbert-learnt,0.0000
1.14.18,1,stacked,0.0000
1.14.18,1,majority-voting-regular,1.0000
1.14.18,1,majority-voting-learnt,1.0000
1.14.18,1,species,0.0000
1.2.1.12,1,CAV,1.0000
1.2.1.12,1,deepectransformer-regular,0.0000
1.2.1.12,1,deepectransformer-learnt,0.0000
1.2.1.12,1,ecrecer,0.0000
1.2.1.12,1,clean-supcon,0.0000
1.2.1.12,1,enzbert-regular,0.0000
1.2.1.12,1,enzbert-learnt,0.0000
1.2.1.12,1,proteinbert-regular,0.0000
1.2.1.12,1,proteinbert-learnt,0.0000
1.2.1.12,1,stacked,0.0000
1.2.1.12,1,majority-voting-regular,0.0000
1.2.1.12,1,majority-voting-learnt,0.0000
1.2.1.12,1,species,0.0000
1.6.2,1,CAV,1.0000
1.6.2,1,deepectransformer-regular,0.0000
1.6.2,1,deepectransformer-learnt,0.0000
1.6.2,1,ecrecer,0.0000
1.6.2,1,clean-supcon,0.0000
1.6.2,1,enzbert-regular,0.0000
1.6.2,1,enzbert-learnt,0.0000
1.6.2,1,proteinbert-regular,0.0000
1.6.2,1,proteinbert-learnt,0.0000
1.6.2,1,stacked,0.0000
1.6.2,1,majority-voting-regular,0.0000
1.6.2,1,majority-voting-learnt,0.0000
1.6.2,1,species,0.0000
2.1.1.72,3,CAV,1.0000
2.1.1.72,3,deepectransformer-regular,1.0000
2.1.1.72,3,deepectransformer-learnt,1.0000
2.1.1.72,3,ecrecer,0.0000
2.1.1.72,3,clean-supcon,1.0000
2.1.1.72,3,enzbert-regular,1.0000
2.1.1.72,3,enzbert-learnt,1.0000
2.1.1.72,3,proteinbert-regular,1.0000
2.1.1.72,3,proteinbert-learnt,1.0000
2.1.1.72,3,stacked,1.0000
2.1.1.72,3,majority-voting-regular,1.0000
2.1.1.72,3,majority-voting-learnt,1.0000
2.1.1.72,3,species,0.0000
2.4.1.17,1,CAV,1.0000
2.4.1.17,1,deepectransformer-regular,1.0000
2.4.1.17,1,deepectransformer-learnt,1.0000
2.4.1.17,1,ecrecer,1.0000
2.4.1.17,1,clean-supcon,1.0000
2.4.1.17,1,enzbert-regular,1.0000
2.4.1.17,1,enzbert-learnt,1.0000
2.4.1.17,1,proteinbert-regular,1.0000
2.4.1.17,1,proteinbert-learnt,1.0000
2.4.1.17,1,stacked,1.0000
2.4.1.17,1,majority-voting-regular,1.0000
2.4.1.17,1,majority-voting-learnt,1.0000
2.4.1.17,1,species,0.0000
2.5.1.1,3,CAV,1.0000
2.5.1.1,3,deepectransformer-regular,0.0000
2.5.1.1,3,deepectransformer-learnt,0.6667
2.5.1.1,3,ecrecer,0.0000
2.5.1.1,3,clean-supcon,1.0000
2.5.1.1,3,enzbert-regular,0.0000
2.5.1.1,3,enzbert-learnt,0.0000
2.5.1.1,3,proteinbert-regular,1.0000
2.5.1.1,3,proteinbert-learnt,1.0000
2.5.1.1,3,stacked,1.0000
2.5.1.1,3,majority-voting-regular,0.0000
2.5.1.1,3,majority-voting-learnt,0.0000
2.5.1.1,3,species,0.0000
2.5.1.10,4,CAV,1.0000
2.5.1.10,4,deepectransformer-regular,0.7500
2.5.1.10,4,deepectransformer-learnt,0.5000
2.5.1.10,4,ecrecer,1.0000
2.5.1.10,4,clean-supcon,1.0000
2.5.1.10,4,enzbert-regular,0.0000
2.5.1.10,4,enzbert-learnt,0.0000
2.5.1.10,4,proteinbert-regular,0.7500
2.5.1.10,4,proteinbert-learnt,0.7500
2.5.1.10,4,stacked,1.0000
2.5.1.10,4,majority-voting-regular,0.5000
2.5.1.10,4,majority-voting-learnt,0.0000
2.5.1.10,4,species,0.0000
2.5.1.29,3,CAV,1.0000
2.5.1.29,3,deepectransformer-regular,0.3333
2.5.1.29,3,deepectransformer-learnt,1.0000
2.5.1.29,3,ecrecer,0.0000
2.5.1.29,3,clean-supcon,1.0000
2.5.1.29,3,enzbert-regular,1.0000
2.5.1.29,3,enzbert-learnt,1.0000
2.5.1.29,3,proteinbert-regular,1.0000
2.5.1.29,3,proteinbert-learnt,1.0000
2.5.1.29,3,stacked,1.0000
2.5.1.29,3,majority-voting-regular,1.0000
2.5.1.29,3,majority-voting-learnt,1.0000
2.5.1.29,3,species,0.0000
3.1.1.1,1,CAV,1.0000
3.1.1.1,1,deepectransformer-regular,0.0000
3.1.1.1,1,deepectransformer-learnt,0.0000
3.1.1.1,1,ecrecer,0.0000
3.1.1.1,1,clean-supcon,1.0000
3.1.1.1,1,enzbert-regular,0.0000
3.1.1.1,1,enzbert-learnt,0.0000
3.1.1.1,1,proteinbert-regular,0.0000
3.1.1.1,1,proteinbert-learnt,0.0000
3.1.1.1,1,stacked,0.0000
3.1.1.1,1,majority-voting-regular,0.0000
3.1.1.1,1,majority-voting-learnt,0.0000
3.1.1.1,1,species,0.0000
3.1.1.3,1,CAV,1.0000
3.1.1.3,1,deepectransformer-regular,1.0000
3.1.1.3,1,deepectransformer-learnt,1.0000
3.1.1.3,1,ecrecer,1.0000
3.1.1.3,1,clean-supcon,1.0000
3.1.1.3,1,enzbert-regular,1.0000
3.1.1.3,1,enzbert-learnt,1.0000
3.1.1.3,1,proteinbert-regular,1.0000
3.1.1.3,1,proteinbert-learnt,1.0000
3.1.1.3,1,stacked,1.0000
3.1.1.3,1,majority-voting-regular,1.0000
3.1.1.3,1,majority-voting-learnt,1.0000
3.1.1.3,1,species,0.0000
3.2.1.4,1,CAV,0.0000
3.2.1.4,1,deepectransformer-regular,0.0000
3.2.1.4,1,deepectransformer-learnt,0.0000
3.2.1.4,1,ecrecer,0.0000
3.2.1.4,1,clean-supcon,0.0000
3.2.1.4,1,enzbert-regular,0.0000
3.2.1.4,1,enzbert-learnt,0.0000
3.2.1.4,1,proteinbert-regular,0.0000
3.2.1.4,1,proteinbert-learnt,0.0000
3.2.1.4,1,stacked,1.0000
3.2.1.4,1,majority-voting-regular,0.0000
3.2.1.4,1,majority-voting-learnt,1.0000
3.2.1.4,1,species,0.0000
3.2.2.6,1,CAV,1.0000
3.2.2.6,1,deepectransformer-regular,0.0000
3.2.2.6,1,deepectransformer-learnt,0.0000
3.2.2.6,1,ecrecer,0.0000
3.2.2.6,1,clean-supcon,0.0000
3.2.2.6,1,enzbert-regular,0.0000
3.2.2.6,1,enzbert-learnt,0.0000
3.2.2.6,1,proteinbert-regular,0.0000
3.2.2.6,1,proteinbert-learnt,0.0000
3.2.2.6,1,stacked,0.0000
3.2.2.6,1,majority-voting-regular,0.0000
3.2.2.6,1,majority-voting-learnt,0.0000
3.2.2.6,1,species,0.0000
4.3.1.24,2,CAV,1.0000
4.3.1.24,2,deepectransformer-regular,0.5000
4.3.1.24,2,deepectransformer-learnt,1.0000
