go_term,n_val_proteins,n_test_neg,auc_val_vs_test_neg,aupr_val_vs_test_neg,pct_llr_positive,median_val_cav_score,median_test_pos_pct,median_test_neg_pct,median_llr,median_test_pos_zscore,go_term_name,depth,n_ancestors
GO:0097361,15,14,1.0000,1.0000,73.3333,6.8282,0.0000,100.0000,43.3850,-5.3474,cytosolic [4Fe-4S] assembly targeting complex,,7
GO:0072546,15,16,1.0000,1.0000,100.0000,7.5660,37.5000,100.0000,96.3710,-0.3066,EMC complex,,19
GO:0071203,5,13,1.0000,1.0000,100.0000,4.1673,33.3333,100.0000,31.0374,-0.4597,WASH complex,,5
GO:0000930,7,18,1.0000,1.0000,100.0000,4.2343,70.0000,100.0000,17.0867,0.1720,gamma-tubulin complex,,11
GO:0000836,12,13,1.0000,1.0000,100.0000,5.7042,50.0000,100.0000,208.9094,0.3570,Hrd1p ubiquitin ligase complex,,25
GO:0000795,8,15,1.0000,1.0000,100.0000,3.8285,68.7500,100.0000,21.4079,0.4806,synaptonemal complex,,19
GO:0070822,10,19,1.0000,1.0000,100.0000,4.3329,30.0000,100.0000,11.6953,-0.1293,Sin3-type complex,,22
GO:0070545,6,24,1.0000,1.0000,100.0000,6.2966,70.8333,100.0000,6.8038,-0.1051,PeBoW complex,,20
GO:0051285,10,13,1.0000,1.0000,100.0000,3.2819,100.0000,100.0000,10.9858,1.6920,cell cortex of cell tip,,10
GO:0048188,31,14,1.0000,1.0000,100.0000,4.5124,28.5714,100.0000,23.8558,-0.6274,Set1C/COMPASS complex,,19
GO:0046540,27,42,1.0000,1.0000,100.0000,5.0194,52.3810,100.0000,17.6417,-0.0561,U4/U6 x U5 tri-snRNP complex,,15
GO:0045275,50,25,1.0000,1.0000,100.0000,6.3269,66.6667,100.0000,51.5494,-0.0488,respiratory chain complex III,,11
GO:0045095,14,12,1.0000,1.0000,100.0000,6.6966,50.0000,100.0000,37.0499,0.5678,keratin filament,,14
GO:0044305,36,12,1.0000,1.0000,91.6667,3.7036,66.6667,100.0000,132.4495,0.4347,calyx of Held,,12
GO:0043596,31,17,1.0000,1.0000,96.7742,3.1731,37.5000,100.0000,12.8948,-0.1976,nuclear replication fork,,17
GO:0042622,7,12,1.0000,1.0000,100.0000,3.5106,16.6667,100.0000,17.7724,-1.5127,photoreceptor outer segment membrane,,20
GO:0042555,34,23,1.0000,1.0000,100.0000,6.7851,37.5000,100.0000,30.9217,-0.1416,MCM complex,,2
GO:0035145,7,16,1.0000,1.0000,100.0000,4.9253,50.0000,100.0000,59.5867,-0.3017,exon-exon junction complex,,10
GO:0005687,7,15,1.0000,1.0000,100.0000,7.3820,28.5714,100.0000,196.3347,-1.0185,U4 snRNP,,14
GO:0005686,15,29,1.0000,1.0000,100.0000,4.1761,33.3333,100.0000,49.7568,-0.6415,U2 snRNP,,14
GO:0005685,10,32,1.0000,1.0000,100.0000,4.8831,64.7059,100.0000,19.5784,0.3396,U1 snRNP,,14
GO:0005682,26,20,1.0000,1.0000,96.1538,5.4431,44.4444,100.0000,14.2887,0.4337,U5 snRNP,,14
GO:0005675,22,20,1.0000,1.0000,100.0000,5.4879,60.0000,100.0000,57.3653,-0.0617,transcription factor TFIIH holo complex,,30
GO:0005669,45,38,1.0000,1.0000,100.0000,5.8488,85.0000,100.0000,21.3253,0.6461,transcription factor TFIID complex,,25
