label,cav_score,llr
positive,3.5996,6.2115
positive,3.2218,5.2596
positive,3.1413,4.9408
positive,3.7861,6.3513
positive,3.9724,6.2729
positive,3.8413,6.3508
positive,3.7805,6.3503
positive,6.0678,9.9027
positive,1.4733,-8.6218
positive,5.5750,8.4913
positive,5.3320,7.7443
positive,5.5916,8.5411
positive,5.5913,8.5400
positive,1.7600,-7.1143
positive,5.3320,7.7443
positive,0.8606,-12.0005
positive,1.4929,-8.5174
positive,3.0309,0.8655
positive,0.9720,-9.9318
positive,2.8336,0.0441
positive,4.7647,6.1392
positive,1.1855,-8.5834
positive,4.0878,4.4956
positive,2.9172,1.7657
positive,1.2987,-5.0719
positive,1.7219,-3.0271
positive,4.6316,6.1042
positive,2.8998,1.7064
positive,3.3183,1.7943
positive,2.0413,0.4672
positive,3.5118,1.9387
positive,2.2024,0.6705
positive,3.0238,1.5461
positive,1.0261,-1.0529
positive,-0.1715,-2.6263
positive,2.1711,0.8203
positive,2.1653,0.8112
positive,1.5731,-0.1044
positive,1.0412,-0.9010
positive,3.8078,4.9875
positive,3.8950,5.2195
positive,3.8147,5.0075
positive,2.8763,-0.5080
positive,3.8852,5.1959
positive,3.8815,5.1867
positive,1.6814,-15.6360
positive,0.7976,-15.3060
positive,2.1982,-1.5720
positive,1.6468,-6.1136
positive,1.4952,-7.5594
positive,0.1978,-23.4054
positive,3.3410,4.2623
positive,4.3497,6.1822
positive,0.4853,-6.3100
positive,3.7000,4.3731
positive,1.0912,-4.0763
positive,0.9767,-4.4906
positive,3.2629,3.0896
positive,0.3495,-6.8246
positive,0.9751,-4.4962
positive,3.3298,3.2894
positive,0.3264,-6.9125
positive,-0.4724,-10.0489
positive,6.9353,12.2174
positive,3.3437,3.3309
positive,1.4748,-2.7149
positive,0.9792,-4.4814
positive,4.3913,6.2942
positive,-0.3279,-9.4685
positive,1.4969,-2.6376
positive,0.4627,-6.3949
positive,0.8754,-4.8598
positive,0.8869,-5.8436
positive,-1.1790,-19.8137
positive,3.0403,2.7861
positive,2.9877,2.6476
positive,4.3233,5.0489
positive,-4.5145,-54.1338
positive,4.2706,4.9983
positive,1.9190,-2.2380
positive,4.7358,12.4529
positive,-1.8969,-31.8743
positive,4.6157,11.9511
positive,4.1636,9.9630
positive,4.7060,12.3295
positive,0.9155,-8.9462
positive,4.4024,11.0327
positive,4.7288,12.4239
positive,1.1565,-16.7677
positive,1.3590,-13.6712
positive,1.4121,-12.8954
positive,0.5235,-27.8746
positive,-0.5644,-52.0103
positive,4.5131,6.0216
positive,0.5798,-26.7991
positive,3.1502,4.0938
positive,3.1442,4.0630
positive,4.6407,5.6894
positive,2.6669,1.0049
positive,0.2581,-33.1729
positive,3.4661,5.4325
positive,2.9648,3.0578
positive,3.2409,4.5331
positive,2.7631,2.8322
positive,3.2442,6.1516
positive,2.6329,1.2739
positive,3.0022,4.9612
positive,3.2847,6.2559
positive,2.9840,4.8323
positive,3.6157,6.0896
positive,3.3659,6.3831
positive,3.6344,6.0261
positive,3.6239,6.0624
positive,2.7518,2.7084
positive,2.6024,2.2804
positive,2.4619,2.0165
positive,0.5488,-1.4317
positive,2.5754,2.2294
positive,-0.3178,-2.9056
positive,0.3166,-9.5102
positive,1.4980,-2.9028
positive,4.0415,4.6764
positive,2.8080,2.1342
positive,1.8875,-1.1539
positive,2.2647,0.3371
positive,1.6476,-2.2060
positive,1.3776,-3.4864
positive,6.7862,10.9574
positive,6.3823,9.3638
positive,8.7119,18.0281
positive,8.6942,17.9670
positive,6.9516,11.5991
positive,8.7075,18.0129
positive,6.8650,11.2639
positive,6.8650,11.2639
positive,7.4035,13.3189
positive,6.8258,11.1117
positive,7.4908,13.6455
positive,0.3911,-46.9958
positive,0.1994,-49.4212
positive,9.7829,21.8876
positive,8.0651,16.6028
positive,9.9771,22.2789
positive,0.2079,-49.3127
positive,9.9810,22.2864
positive,7.2243,12.8227
positive,9.1522,20.3275
positive,5.1221,10.2829
positive,4.7161,10.0387
positive,5.1472,10.2662
positive,4.6033,9.7983
positive,3.3415,2.0005
positive,3.3360,1.9456
positive,4.6033,9.7983
positive,1.8353,-6.5210
positive,4.5470,7.4341
positive,4.9775,9.2702
positive,8.8134,21.0396
positive,1.0989,-11.0227
positive,1.7939,-6.7660
positive,4.8898,8.9046
positive,15.2531,715.6994
positive,15.1254,703.6846
positive,15.0313,694.8685
positive,13.0605,518.6963
positive,12.7623,493.4340
positive,1.1983,-1.8928
positive,5.7120,13.5799
positive,-2.9353,-0.1984
positive,-1.5824,-2.4226
positive,5.5172,12.5391
positive,4.5149,7.7143
positive,5.0990,10.4176
positive,6.0425,15.4237
positive,5.1644,10.7390
positive,5.2268,11.0494
positive,5.6466,13.2268
positive,5.8372,5.2249
positive,6.2284,5.8366
positive,6.2631,5.8838
positive,5.8068,5.1712
positive,6.2166,5.8204
positive,4.3845,1.6704
positive,0.7030,-16.3911
positive,4.2423,1.2136
positive,5.3965,4.3602
positive,7.0699,16.8969
positive,7.1423,17.3648
positive,5.6824,8.2596
positive,8.7537,28.2045
positive,7.0154,16.5460
positive,10.0526,37.5456
positive,6.5703,13.7161
positive,6.6510,23.8825
positive,7.3419,28.9200
positive,6.5505,23.1816
positive,6.7319,24.4524
positive,4.2033,9.1450
positive,5.4434,16.0050
positive,1.4800,-1.5492
positive,5.0560,8.1397
positive,5.3773,9.1577
positive,8.1801,19.8552
positive,7.4071,16.5792
positive,7.9383,18.8037
positive,8.3459,20.5904
positive,7.7462,17.9858
positive,6.5294,13.1603
positive,5.6502,10.0558
positive,8.4468,37.8332
positive,9.2964,45.9732
positive,7.7135,31.2980
positive,9.1469,44.4964
positive,9.1601,44.6265
positive,8.0306,34.0683
positive,7.8417,30.2071
positive,7.7102,29.2877
positive,7.8845,30.5061
positive,7.7928,29.8656
positive,8.1736,32.5171
positive,7.7851,29.8116
positive,8.0783,31.8555
positive,7.9921,31.2556
positive,2.2306,-11.2160
positive,7.4501,27.4610
positive,1.8162,-228.2974
positive,5.5915,9.7644
positive,5.4250,9.8365
positive,5.3665,9.6303
positive,5.5041,9.9239
positive,5.3992,9.7605
positive,5.4238,9.8336
positive,1.9546,-210.7053
positive,5.3558,9.5796
positive,5.7915,8.3880
positive,5.5719,9.8233
positive,5.5291,9.9057
positive,5.5834,9.7904
positive,5.5617,9.8488
positive,4.2567,-55.1176
positive,11.2085,114.6375
positive,4.0339,-61.3990
positive,10.4711,99.0462
positive,10.7464,104.9345
positive,12.5405,141.3521
positive,6.8062,73.3747
positive,7.2199,82.8675
positive,7.1583,81.4263
positive,7.2671,83.9806
positive,6.8712,74.8349
positive,7.2945,84.6299
positive,7.3737,86.5142
positive,7.0608,79.1628
positive,7.2857,84.4210
positive,6.1251,58.7438
positive,7.3086,84.9626
positive,7.3523,86.0040
positive,6.7318,71.7152
positive,6.9611,76.8759
positive,8.2665,16.4216
positive,4.8305,2.5990
positive,9.5200,21.1363
positive,9.8233,22.2509
positive,8.1610,16.0166
positive,4.5538,7.5463
positive,5.1004,8.8877
positive,4.0939,6.2306
positive,4.1621,6.4365
positive,3.4756,4.1924
positive,5.1068,8.9019
positive,1.8259,-2.7568
positive,10.8280,55.9928
positive,7.4393,25.8167
positive,10.9613,57.3475
positive,8.6740,35.8621
positive,11.0549,58.3057
positive,7.7622,28.3381
positive,0.0841,-11.4702
positive,-0.1858,-12.1037
positive,6.5277,19.0981
positive,10.0046,47.9062
positive,10.9415,57.1454
positive,5.6614,11.9343
positive,5.3290,9.6857
positive,5.3469,9.8173
positive,6.5679,15.9802
positive,6.5416,15.9057
positive,5.8875,13.2289
positive,5.7555,12.4961
positive,5.8406,12.9757
positive,5.6651,11.9568
positive,5.7073,12.2120
positive,6.5405,15.9024
positive,6.5184,15.8379
positive,6.1119,14.3262
positive,6.3991,15.4577
positive,6.3646,15.3380
positive,6.4148,15.5110
positive,5.7286,12.3388
positive,6.5311,15.8753
positive,-0.0812,-15.7366
positive,0.0399,-15.4887
positive,11.0493,182.6569
positive,10.7531,172.7784
positive,-0.0762,-15.7272
positive,3.6661,11.4052
positive,11.4034,194.7954
positive,11.0375,182.2596
positive,10.5385,165.7764
positive,11.7624,207.4694
positive,11.5666,200.5131
positive,11.6338,202.8870
positive,12.3403,228.6515
positive,-0.0721,-15.7193
positive,10.5545,166.2964
positive,-0.4298,-16.2152
positive,5.8579,19.7433
positive,5.8976,20.0870
positive,6.9285,28.8101
positive,6.8888,28.4811
positive,7.0854,30.1028
positive,7.0326,29.6692
positive,6.3205,23.7133
positive,7.7325,35.3385
positive,5.8111,19.3370
positive,6.4873,25.1254
positive,6.2088,22.7618
positive,6.0323,21.2494
positive,9.0791,41.9335
positive,7.9512,31.6691
positive,7.2002,23.3405
positive,7.2442,23.8613
positive,8.2899,35.0336
positive,9.0034,41.3287
positive,8.1507,33.6804
positive,4.3809,8.7876
positive,5.6376,14.9886
positive,5.7723,15.6610
positive,5.1174,12.4059
positive,5.1104,12.3711
positive,5.4399,14.0043
positive,5.1328,12.4817
positive,4.3809,8.7876
positive,5.0083,11.8667
positive,5.5490,14.5469
positive,5.5759,14.6808
positive,5.5811,14.7068
positive,9.3257,100.2132
positive,6.1172,41.5092
positive,6.1496,41.9964
positive,8.5103,83.3027
positive,5.9488,39.0088
positive,11.4996,51.0837
positive,10.3774,41.8583
positive,11.1689,48.2929
positive,10.6572,44.0936
positive,10.4937,42.7821
positive,8.7511,29.7222
positive,10.4456,42.3993
positive,10.4620,42.5299
positive,9.5432,35.4510
positive,10.3715,41.8114
positive,9.5250,35.3151
positive,9.9135,38.2479
positive,5.4279,11.3153
positive,5.5093,11.7164
positive,5.3150,10.7621
positive,5.6323,12.3268
positive,-0.7062,-12.6030
positive,7.3959,21.6297
positive,8.0108,25.1158
positive,5.8245,13.2906
positive,6.8771,18.7863
positive,6.0364,14.3676
positive,6.0347,14.3589
positive,5.5796,12.0646
positive,3.6135,2.9420
positive,5.8825,13.5836
positive,5.5429,11.8827
positive,5.6015,12.1733
positive,6.6547,17.5945
positive,1.6060,-16.5264
positive,6.3635,22.7292
positive,6.3174,22.4447
positive,4.7216,11.4344
positive,5.4042,16.4185
positive,6.7682,25.1492
positive,5.9305,19.9809
