go_term,val_cav_score,llr,tool_score,test_pos_percentile,test_neg_percentile
GO:0000077,0.6987,-2.9797,0.0000,3.2258,57.5758
GO:0000077,2.0513,1.2551,0.0000,12.9032,92.4242
GO:0000077,2.9645,2.7890,0.1550,83.8710,100.0000
GO:0000077,2.8968,2.7120,0.1160,80.6452,100.0000
GO:0000077,3.1435,2.9645,0.3410,96.7742,100.0000
GO:0000077,2.1851,1.5468,0.0000,12.9032,92.4242
GO:0000077,1.3694,-0.5870,0.0000,9.6774,78.7879
GO:0000077,1.2281,-1.0431,0.0000,6.4516,72.7273
GO:0000077,3.3927,3.1404,0.2980,100.0000,100.0000
GO:0000077,2.4470,2.0510,0.2230,12.9032,93.9394
GO:0000082,2.7437,2.4747,0.1100,85.1852,100.0000
GO:0000082,2.7722,2.5087,0.0000,85.1852,100.0000
GO:0000082,1.9657,1.3148,0.0000,14.8148,100.0000
GO:0000082,2.5170,2.1834,0.0000,62.9630,100.0000
GO:0000082,2.3862,1.9979,0.0000,29.6296,100.0000
GO:0000082,2.7808,2.5188,0.0000,85.1852,100.0000
GO:0000082,2.3789,1.9871,0.0000,29.6296,100.0000
GO:0000082,2.3444,1.9359,0.1100,29.6296,100.0000
GO:0000082,2.8673,2.6175,0.0000,92.5926,100.0000
GO:0000082,1.5722,0.5561,0.0000,14.8148,94.2308
GO:0000082,-0.2713,-4.5379,0.0000,3.7037,19.2308
GO:0000082,2.7927,2.5326,0.1320,88.8889,100.0000
GO:0000082,2.6765,2.3924,0.0000,81.4815,100.0000
GO:0000082,-0.1962,-4.2806,0.0000,3.7037,21.1538
GO:0000082,2.5817,2.2704,0.0000,66.6667,100.0000
GO:0000082,3.0353,2.7931,0.1380,96.2963,100.0000
GO:0000082,2.2490,1.7895,0.0000,14.8148,100.0000
GO:0000082,1.9840,1.3474,0.1080,14.8148,100.0000
GO:0000086,-0.8977,-11.1872,0.0000,0.0000,7.6923
GO:0000086,2.5992,1.7004,0.1700,57.6923,96.1538
GO:0000086,2.7999,1.8887,0.1640,73.0769,98.0769
GO:0000086,2.7814,1.8738,0.1480,73.0769,98.0769
GO:0000086,0.2347,-5.0244,0.0000,0.0000,30.7692
GO:0000086,3.8700,1.8818,0.1590,100.0000,100.0000
GO:0000086,3.0114,2.0222,0.4730,80.7692,100.0000
GO:0000086,1.7894,0.3327,0.0000,11.5385,80.7692
GO:0000086,1.4993,-0.3941,0.0000,7.6923,73.0769
GO:0000086,1.6128,-0.0948,0.1030,7.6923,76.9231
GO:0000086,1.6369,-0.0336,0.0000,7.6923,78.8462
GO:0000086,-0.1974,-7.1510,0.0000,0.0000,23.0769
GO:0000103,4.9699,12.5982,0.0000,77.7778,100.0000
GO:0000103,3.7218,5.1205,0.0000,0.0000,100.0000
GO:0000103,3.1436,-1.8716,0.0000,0.0000,100.0000
GO:0000103,3.2459,-0.4709,0.0000,0.0000,100.0000
GO:0000103,4.7394,12.0007,0.0000,77.7778,100.0000
GO:0000160,2.0976,1.6500,0.2650,33.3333,100.0000
GO:0000160,2.3895,2.1194,0.1450,60.0000,100.0000
GO:0000160,2.5652,2.3913,0.1060,80.0000,100.0000
GO:0000160,2.0649,1.5961,0.0000,33.3333,100.0000
GO:0000160,1.3229,0.2995,0.2310,20.0000,77.7778
GO:0000160,1.3705,0.3869,0.4580,20.0000,77.7778
GO:0000160,2.4746,2.2520,0.2210,66.6667,100.0000
GO:0000160,2.1131,1.6756,0.0000,40.0000,100.0000
GO:0000160,2.2004,1.8178,0.0000,40.0000,100.0000
GO:0000160,2.9483,2.9572,0.2060,86.6667,100.0000
GO:0000281,2.2353,1.4935,0.0000,33.3333,92.5373
GO:0000281,2.7045,1.8557,0.2840,96.9697,98.5075
GO:0000281,2.5941,1.7948,0.1860,84.8485,98.5075
GO:0000281,2.9745,1.9416,0.1620,100.0000,100.0000
GO:0000281,2.3308,1.5890,0.0000,48.4848,94.0299
GO:0000281,2.3369,1.5948,0.0000,48.4848,94.0299
GO:0000281,2.3298,1.5882,0.0000,48.4848,94.0299
GO:0000289,4.0101,6.7589,0.0000,70.0000,100.0000
GO:0000289,4.2653,7.5728,0.0000,80.0000,100.0000
GO:0000289,4.2459,7.5116,0.2000,80.0000,100.0000
GO:0000289,3.9898,6.6930,0.0000,70.0000,100.0000
GO:0000289,4.0959,7.0350,0.0000,70.0000,100.0000
GO:0000289,4.1701,7.2720,0.0000,70.0000,100.0000
GO:0000289,3.4590,4.9202,0.2070,30.0000,100.0000
GO:0000289,3.6616,5.6090,0.0000,50.0000,100.0000
GO:0000289,3.2417,4.1643,0.0000,30.0000,100.0000
GO:0000289,3.5810,5.3366,0.0000,40.0000,100.0000
GO:0000289,4.3192,7.7416,0.0000,90.0000,100.0000
GO:0000289,3.3562,4.5646,0.0000,30.0000,100.0000
GO:0000289,3.4126,4.7602,0.0000,30.0000,100.0000
GO:0000289,3.1981,4.0107,0.1670,30.0000,100.0000
GO:0000289,4.2991,7.6787,0.0000,90.0000,100.0000
GO:0000289,3.2592,4.2258,0.0000,30.0000,100.0000
GO:0000289,3.8412,6.2072,0.0000,60.0000,100.0000
GO:0000290,4.7412,14.6487,0.0000,28.5714,100.0000
GO:0000290,3.8588,9.2322,0.0000,28.5714,100.0000
GO:0000290,6.0864,22.7396,0.0000,100.0000,100.0000
GO:0000290,3.5998,7.6257,0.0000,28.5714,100.0000
GO:0000290,4.5896,13.7241,0.0000,28.5714,100.0000
GO:0000290,4.9899,16.1597,0.0000,57.1429,100.0000
GO:0000290,5.6705,20.2595,0.0000,85.7143,100.0000
GO:0000380,2.7745,-0.9754,0.0000,0.0000,100.0000
GO:0000380,-3.9328,-61.6488,0.0000,0.0000,0.0000
GO:0000380,2.7330,-1.2795,0.0000,0.0000,100.0000
GO:0000380,-0.0304,-23.5137,0.0000,0.0000,25.0000
GO:0000380,2.4222,-3.5829,0.0000,0.0000,100.0000
GO:0000387,-0.8891,-16.8393,0.0000,0.0000,19.5122
GO:0000387,3.6374,3.5652,0.0000,25.0000,100.0000
GO:0000387,1.9575,-1.9302,0.0000,5.0000,90.2439
GO:0000387,1.8162,-2.5042,0.0000,5.0000,90.2439
GO:0000387,0.4237,-9.0887,0.0000,0.0000,48.7805
GO:0000460,1.5170,-41.3266,0.1820,0.0000,66.6667
GO:0000460,1.4226,-43.8473,0.0000,0.0000,60.6061
GO:0000460,0.0658,-87.3011,0.2910,0.0000,48.4848
GO:0000460,2.9736,-10.6587,0.3390,0.0000,100.0000
GO:0000460,1.5621,-40.1428,0.2070,0.0000,66.6667
GO:0000460,0.9555,-57.2881,0.1030,0.0000,54.5455
GO:0000460,1.3805,-44.9937,0.1530,0.0000,60.6061
GO:0000460,0.5868,-69.0240,0.1340,0.0000,51.5152
GO:0000460,2.8221,-13.1252,0.0000,0.0000,100.0000
GO:0000460,4.8214,5.9291,0.1590,23.5294,100.0000
GO:0001504,4.7063,9.9457,0.1010,100.0000,100.0000
GO:0001504,4.6483,10.9438,0.3300,75.0000,100.0000
GO:0001504,4.6337,11.0640,0.2830,75.0000,100.0000
GO:0001504,4.6711,10.6504,0.1020,100.0000,100.0000
GO:0001504,4.4633,8.5655,0.2970,12.5000,100.0000
GO:0001504,4.5877,11.0979,0.3380,37.5000,100.0000
GO:0001508,3.0369,3.1670,0.0000,57.1429,100.0000
GO:0001508,1.6426,-2.4477,0.0000,4.7619,81.3953
GO:0001508,1.8965,-0.8707,0.0000,9.5238,83.7209
GO:0001508,2.9961,3.1085,0.2550,42.8571,97.6744
GO:0001508,3.2735,3.3806,0.3270,76.1905,100.0000
GO:0001508,3.6711,3.2566,0.2630,95.2381,100.0000
GO:0001556,-0.1983,-3.4003,0.0000,0.0000,38.4615
