go_term,n_val_proteins,n_test_neg,auc_val_vs_test_neg,aupr_val_vs_test_neg,pct_llr_positive,median_val_cav_score,median_test_pos_pct,median_test_neg_pct,median_llr,median_test_pos_zscore,go_term_name,depth,n_ancestors,tool_auc,tool_aupr,tool_recall_at_threshold,tool_n_val_nonzero,spearman_r_cav_vs_tool,spearman_p_cav_vs_tool,auc_diff_cav_minus_tool
GO:1990961,7,12,1.0000,1.0000,85.7143,3.0828,33.3333,100.0000,3.7453,0.1515,xenobiotic detoxification by transmembrane export across the plasma membrane,,14,0.5714,0.4586,0.1429,1,0.6124,0.1438,0.4286
GO:1990573,8,32,1.0000,1.0000,100.0000,4.7822,47.0588,100.0000,7.1091,-0.2276,potassium ion import across plasma membrane,,17,0.6875,0.5000,0.3750,3,0.0273,0.9489,0.3125
GO:0006120,49,22,1.0000,1.0000,97.9592,4.9462,50.0000,100.0000,7.3761,-0.1092,"mitochondrial electron transport, NADH to ubiquinone",,13,0.6633,0.7913,0.3265,16,0.0876,0.5495,0.3367
GO:0095500,18,19,1.0000,1.0000,100.0000,4.2779,18.1818,100.0000,5.9873,-0.5724,acetylcholine receptor signaling pathway,,21,0.5278,0.5150,0.0556,1,0.3506,0.1537,0.4722
GO:0003254,5,23,1.0000,1.0000,100.0000,2.8482,50.0000,100.0000,1.4428,0.3168,regulation of membrane depolarization,,6,0.5000,0.1786,0.0000,0,,,0.5000
GO:0006086,6,12,1.0000,1.0000,100.0000,6.2704,75.0000,100.0000,71.0976,0.6527,pyruvate decarboxylation to acetyl-CoA,,30,1.0000,1.0000,1.0000,6,0.5429,0.2657,0.0000
GO:0006370,4,19,1.0000,1.0000,100.0000,5.0748,65.0000,100.0000,15.8842,0.5393,7-methylguanosine mRNA capping,,20,0.5000,0.1739,0.0000,0,,,0.5000
GO:0071985,11,44,1.0000,1.0000,100.0000,3.6944,79.1667,100.0000,3.3797,0.5269,multivesicular body sorting pathway,,6,0.9545,0.9273,0.9091,10,0.3000,0.3701,0.0455
GO:0005978,10,24,1.0000,1.0000,100.0000,4.0814,38.4615,100.0000,4.5820,0.1019,glycogen biosynthetic process,,17,0.8500,0.7882,0.7000,7,0.2025,0.5748,0.1500
GO:0006002,9,29,1.0000,1.0000,77.7778,6.9213,46.6667,100.0000,26.9282,-0.6839,fructose 6-phosphate metabolic process,,6,0.5000,0.2368,0.0000,0,,,0.5000
GO:0086010,9,13,1.0000,1.0000,100.0000,5.6998,80.0000,100.0000,9.1316,0.8354,membrane depolarization during action potential,,6,0.5000,0.4091,0.0000,0,,,0.5000
GO:0002183,8,35,1.0000,1.0000,100.0000,4.4528,5.8824,100.0000,5.9306,-1.1474,cytoplasmic translational initiation,,13,0.5000,0.1860,0.0000,0,,,0.5000
GO:0055062,6,12,1.0000,1.0000,100.0000,2.4152,33.3333,100.0000,1.4389,-0.6309,phosphate ion homeostasis,,4,0.5000,0.3333,0.0000,0,,,0.5000
GO:0060333,17,9,1.0000,1.0000,100.0000,4.3993,60.0000,100.0000,8.5564,0.6595,type II interferon-mediated signaling pathway,,31,0.5588,0.6946,0.1176,2,-0.1269,0.6274,0.4412
