go_term,n_val_proteins,n_test_neg,auc_val_vs_test_neg,aupr_val_vs_test_neg,pct_llr_positive,median_val_cav_score,median_test_pos_pct,median_test_neg_pct,median_llr,median_test_pos_zscore,go_term_name,depth,n_ancestors,tool_auc,tool_aupr,tool_recall_at_threshold,tool_n_val_nonzero,spearman_r_cav_vs_tool,spearman_p_cav_vs_tool,auc_diff_cav_minus_tool
GO:0000155,7,17,1.0000,1.0000,100.0000,3.7805,75.0000,100.0000,6.2729,0.8617,phosphorelay sensor kinase activity,3,24,1.0000,1.0000,1.0000,7,0.7857,0.0362,0.0000
GO:0003746,11,64,1.0000,1.0000,100.0000,6.9516,62.5000,100.0000,11.5991,-0.2691,translation elongation factor activity,2,14,0.9091,0.8448,0.8182,9,-0.1968,0.5619,0.0909
GO:0004022,10,26,1.0000,1.0000,90.0000,7.8173,61.5385,100.0000,30.0364,0.5927,alcohol dehydrogenase (NAD+) activity,6,6,0.9500,0.9278,0.9000,9,-0.2918,0.4133,0.0500
GO:0003756,7,23,1.0000,1.0000,100.0000,4.6033,66.6667,100.0000,9.7983,0.4313,protein disulfide isomerase activity,3,6,1.0000,1.0000,1.0000,7,0.7818,0.0378,0.0000
GO:0001965,11,27,1.0000,1.0000,100.0000,3.2442,53.8462,100.0000,6.0261,0.0115,G-protein alpha-subunit binding,3,3,0.5455,0.3541,0.0909,1,-0.2000,0.5554,0.4545
GO:0004017,6,12,1.0000,1.0000,100.0000,8.7968,83.3333,100.0000,41.1648,0.7300,AMP kinase activity,6,8,1.0000,1.0000,1.0000,6,0.4857,0.3287,0.0000
GO:0003950,7,16,1.0000,1.0000,100.0000,7.0699,25.0000,100.0000,16.8969,-0.8673,NAD+ poly-ADP-ribosyltransferase activity,5,5,0.8571,0.8012,0.7143,5,0.5045,0.2482,0.1429
GO:0003993,7,15,1.0000,1.0000,85.7143,6.5505,14.2857,100.0000,23.1816,0.0240,acid phosphatase activity,6,6,0.7857,0.7078,0.5714,4,0.8524,0.0148,0.2143
GO:0004176,5,38,1.0000,1.0000,100.0000,8.2665,47.3684,100.0000,16.4216,0.1705,ATP-dependent peptidase activity,2,6,0.5000,0.1163,0.0000,0,,,0.5000
GO:0004190,18,35,1.0000,1.0000,100.0000,5.9997,38.8889,100.0000,13.7775,-0.3304,aspartic-type endopeptidase activity,5,7,0.9722,0.9633,0.9444,17,0.0237,0.9255,0.0278
GO:0004016,9,16,1.0000,1.0000,100.0000,7.4071,62.5000,100.0000,16.5792,0.7347,adenylate cyclase activity,3,5,0.8750,0.8439,0.7778,7,0.8787,0.0018,0.1250
GO:0004045,6,14,1.0000,1.0000,66.6667,10.6088,14.2857,100.0000,101.9904,-1.0214,peptidyl-tRNA hydrolase activity,5,8,0.6667,0.5333,0.3333,2,0.7775,0.0687,0.3333
GO:0004089,14,11,1.0000,1.0000,100.0000,7.1891,20.0000,100.0000,82.1469,-0.4587,carbonate dehydratase activity,5,5,1.0000,1.0000,1.0000,14,0.4989,0.0694,0.0000
GO:0003872,5,14,1.0000,1.0000,100.0000,15.0313,57.1429,100.0000,694.8685,0.8194,6-phosphofructokinase activity,6,65,1.0000,1.0000,1.0000,5,0.9000,0.0374,0.0000
GO:0005484,10,49,1.0000,1.0000,100.0000,9.4773,20.8333,100.0000,37.4183,-0.9112,SNAP receptor activity,2,10,1.0000,1.0000,1.0000,10,-0.2970,0.4047,0.0000
GO:0005385,27,36,1.0000,1.0000,100.0000,5.3967,61.1111,100.0000,12.3913,0.2229,zinc ion transmembrane transporter activity,7,21,0.9444,0.9365,0.8889,24,0.2993,0.1293,0.0556
GO:0004970,13,15,1.0000,1.0000,100.0000,8.6168,28.5714,100.0000,37.1381,-0.0893,glutamate-gated receptor activity,4,47,1.0000,1.0000,1.0000,13,-0.4835,0.0941,0.0000
GO:0004890,16,14,1.0000,1.0000,100.0000,13.2033,42.8571,100.0000,50.3889,0.0620,GABA-A receptor activity,5,5,0.9375,0.9417,0.8750,14,0.4728,0.0644,0.0625
GO:0004714,7,53,1.0000,1.0000,100.0000,4.8229,33.3333,100.0000,6.2097,-0.7388,transmembrane receptor protein tyrosine kinase activity,5,13,1.0000,1.0000,1.0000,7,0.0000,1.0000,0.0000
GO:0004715,16,22,1.0000,1.0000,100.0000,4.8489,31.8182,100.0000,8.8638,-0.4976,non-membrane spanning protein tyrosine kinase activity,5,9,1.0000,1.0000,1.0000,16,-0.1735,0.5204,0.0000
GO:0004725,16,61,1.0000,1.0000,100.0000,4.7474,46.6667,100.0000,11.3514,-0.2834,protein tyrosine phosphatase activity,4,8,0.8750,0.8019,0.7500,12,-0.0370,0.8917,0.1250
GO:0004806,9,23,1.0000,1.0000,88.8889,5.0604,54.5455,100.0000,16.7171,-0.0124,triacylglycerol lipase activity,5,6,0.9444,0.9201,0.8889,8,0.9667,0.0000,0.0556
GO:0004993,6,29,1.0000,1.0000,100.0000,6.2708,25.0000,100.0000,21.6978,-0.5315,G protein-coupled serotonin receptor activity,6,18,0.8333,0.7238,0.6667,4,0.9276,0.0077,0.1667
GO:0005003,8,10,1.0000,1.0000,100.0000,6.5181,70.0000,100.0000,13.9191,0.6313,ephrin receptor activity,6,28,1.0000,1.0000,1.0000,8,0.3713,0.3652,0.0000
GO:0004708,6,13,1.0000,1.0000,100.0000,5.4069,40.0000,100.0000,11.4631,0.5103,MAP kinase kinase activity,5,22,1.0000,1.0000,1.0000,6,0.5429,0.2657,0.0000
