protein_id,go_term,cav_rank,tool_rank,tool_predicted,llr,n_go_terms
O69729,GO:0000155,1,3,True,6.211533,226
P9WGK1,GO:0000155,2,3,True,5.259589,226
P9WGK3,GO:0000155,2,4,True,4.940846,226
P9WGK5,GO:0000155,1,2,True,6.351317,226
P9WGK7,GO:0000155,1,3,True,6.272919,226
P9WGL1,GO:0000155,1,3,True,6.35082,226
Q55168,GO:0000155,1,2,True,6.3503,226
A3KPE8,GO:0000175,1,1,False,9.90273,226
O00411,GO:0000175,15,1,False,-8.621792,226
Q383H5,GO:0000175,1,1,False,8.49126,226
Q38EN5,GO:0000175,1,1,False,7.74426,226
Q57X83,GO:0000175,1,1,False,8.541071,226
Q8IEW0,GO:0000175,1,1,False,8.539961,226
Q8IYB8,GO:0000175,9,1,False,-7.114341,226
Q95Z14,GO:0000175,1,1,False,7.74426,226
Q9HB07,GO:0000175,28,1,False,-12.000515,226
Q9VPW4,GO:0000175,15,1,False,-8.51738,226
G8BDQ3,GO:0000400,3,1,False,0.865526,226
O34942,GO:0000400,36,1,False,-9.931754,226
P37573,GO:0000400,3,1,False,0.044126,226
P54132,GO:0000400,2,3,False,6.139157,226
Q06340,GO:0000400,65,1,False,-8.583413,226
Q14191,GO:0000400,2,3,False,4.49562,226
F8VPJ6,GO:0000979,6,1,False,1.765728,226
P17095,GO:0000979,42,3,False,-5.071948,226
P19091,GO:0000979,28,2,False,-3.027084,226
P62380,GO:0000979,2,1,True,6.104154,226
Q2KHR2,GO:0000979,7,1,False,1.706416,226
O94913,GO:0000993,1,1,False,1.794343,226
P0CAP2,GO:0000993,13,1,False,0.467167,226
P60002,GO:0000993,1,1,False,1.938677,226
Q06188,GO:0000993,11,2,False,0.670459,226
Q257B3,GO:0000993,4,1,False,1.546059,226
Q9HCN4,GO:0000993,49,1,False,-1.052933,226
A0QS56,GO:0001046,112,1,False,-2.626253,226
O70230,GO:0001046,10,1,False,0.820277,226
P52747,GO:0001046,10,1,False,0.811208,226
P61374,GO:0001046,11,1,False,-0.104356,226
Q96EK4,GO:0001046,84,1,False,-0.900987,226
A0A0B4K7P1,GO:0001091,3,1,False,4.987512,226
P10275,GO:0001091,2,2,False,5.219472,226
P20227,GO:0001091,3,2,True,5.007538,226
Q08605,GO:0001091,12,2,False,-0.507986,226
Q8IMZ4,GO:0001091,1,1,False,5.195875,226
Q9N6D8,GO:0001091,1,2,False,5.186662,226
Q9V4D4,GO:0001091,45,2,False,-15.636014,226
P26687,GO:0001221,46,1,False,-15.306042,226
P48382,GO:0001221,10,1,False,-1.571987,226
P50481,GO:0001221,16,1,False,-6.113607,226
Q01714,GO:0001221,24,1,False,-7.559425,226
Q5ALV2,GO:0001221,120,1,False,-23.405389,226
Q92769,GO:0001221,6,4,True,4.262313,226
O88275,GO:0001223,3,2,True,6.18222,226
P04608,GO:0001223,128,1,False,-6.309959,226
P04637,GO:0001223,5,6,True,4.373054,226
P0C8E4,GO:0001223,70,6,False,-4.076326,226
P20879,GO:0001223,90,1,False,-4.490563,226
P22199,GO:0001223,3,2,False,3.089615,226
P29310,GO:0001223,86,1,False,-6.824605,226
P50481,GO:0001223,40,1,False,-4.496238,226
P52172,GO:0001223,11,1,False,3.289432,226
P92177,GO:0001223,85,2,False,-6.912505,226
Q02577,GO:0001223,134,1,False,-10.048917,226
Q04206,GO:0001223,1,2,False,12.217365,226
Q16665,GO:0001223,5,1,False,3.330944,226
Q1PAB4,GO:0001223,31,1,False,-2.714892,226
Q27272,GO:0001223,56,2,False,-4.48137,226
Q27350,GO:0001223,1,1,False,6.294183,226
Q4VC44,GO:0001223,187,1,False,-9.468456,226
Q9HBH7,GO:0001223,43,1,False,-2.637556,226
Q9NSA3,GO:0001223,114,1,False,-6.394949,226
Q9VK34,GO:0001223,104,1,False,-4.859826,226
P12813,GO:0001530,56,2,False,-5.843619,226
P32455,GO:0001530,173,1,False,-19.813681,226
P49662,GO:0001530,3,1,False,2.786134,226
P70343,GO:0001530,6,1,False,2.647553,226
Q30KP8,GO:0001530,1,1,False,5.048932,226
Q6TH32,GO:0001530,225,1,False,-54.133763,226
Q96PH6,GO:0001530,1,1,False,4.998317,226
O44740,GO:0001671,26,1,False,-2.237969,226
P05026,GO:0001671,1,1,True,12.452917,226
P0A734,GO:0001671,217,1,False,-31.874333,226
P14415,GO:0001671,1,1,True,11.951142,226
P25685,GO:0001671,1,1,True,9.962951,226
P25686,GO:0001671,1,2,True,12.329543,226
P40423,GO:0001671,63,1,False,-8.946211,226
P54709,GO:0001671,1,1,True,11.032689,226
Q91580,GO:0001671,1,1,True,12.423916,226
P02745,GO:0001786,49,1,False,-16.767705,226
P02746,GO:0001786,43,2,False,-13.67122,226
P02747,GO:0001786,38,1,False,-12.895443,226
P36158,GO:0001786,48,2,False,-27.874618,226
P46800,GO:0001786,200,3,False,-52.010254,226
P48036,GO:0001786,4,1,True,6.021647,226
P56198,GO:0001786,109,1,False,-26.799054,226
P63017,GO:0001786,4,1,False,4.093756,226
P87050,GO:0001786,5,1,False,4.062973,226
Q02201,GO:0001786,5,4,True,5.689357,226
Q08001,GO:0001786,7,3,True,1.004932,226
Q12408,GO:0001786,78,1,False,-33.172889,226
Q6U7R4,GO:0001786,2,1,False,5.43246,226
Q96D42,GO:0001786,3,1,False,3.057827,226
Q96H15,GO:0001786,2,1,False,4.53314,226
P14416,GO:0001965,10,3,False,2.832213,226
P21728,GO:0001965,5,3,False,6.151589,226
P36408,GO:0001965,3,1,False,1.273885,226
P38011,GO:0001965,1,3,False,4.961239,226
P49146,GO:0001965,4,3,False,6.255899,226
P49802,GO:0001965,1,1,True,4.832328,226
Q3TIR3,GO:0001965,1,1,False,6.089553,226
Q54DU0,GO:0001965,1,1,False,6.383144,226
Q80XE1,GO:0001965,1,1,False,6.026119,226
Q80ZG1,GO:0001965,1,1,False,6.062387,226
Q8T017,GO:0001965,3,1,False,2.70843,226
O60341,GO:0002039,6,3,False,2.280388,226
P38398,GO:0002039,26,2,False,2.016499,226
Q15038,GO:0002039,103,1,False,-1.431677,226
Q16665,GO:0002039,12,1,False,2.229437,226
Q9CXT6,GO:0002039,151,3,False,-2.905639,226
O94892,GO:0003684,101,1,False,-9.510171,226
P09874,GO:0003684,37,3,False,-2.90278,226
P23396,GO:0003684,3,2,False,4.676391,226
Q13620,GO:0003684,1,1,False,2.134217,226
Q6DIA7,GO:0003684,19,1,False,-1.153915,226
Q8BHZ5,GO:0003684,12,2,False,0.33713,226
Q8N6T7,GO:0003684,22,1,False,-2.206032,226
Q9UGN5,GO:0003684,39,3,False,-3.486419,226
O00178,GO:0003746,1,2,False,10.957377,226
P0A6M8,GO:0003746,1,2,True,9.363811,226
P13639,GO:0003746,1,1,True,18.028116,226
P32324,GO:0003746,1,1,True,17.967048,226
P49410,GO:0003746,1,1,True,11.599122,226
P55823,GO:0003746,1,1,True,18.012897,226
P68104,GO:0003746,2,1,True,11.263895,226
P68105,GO:0003746,2,1,True,11.263895,226
Q5KIM6,GO:0003746,1,1,True,13.318923,226
Q71V39,GO:0003746,2,1,True,11.111746,226
Q9BX10,GO:0003746,1,1,False,13.645508,226
P0A9U3,GO:0003747,88,1,False,-46.995811,226
P0A9W3,GO:0003747,100,1,False,-49.4212,226
P12385,GO:0003747,1,1,True,21.887598,226
P15170,GO:0003747,1,2,False,16.602776,226
P62495,GO:0003747,1,1,True,22.278929,226
P63389,GO:0003747,98,1,False,-49.312706,226
Q1K5S6,GO:0003747,1,1,True,22.286439,226
Q8IYD1,GO:0003747,1,1,False,12.822731,226
Q9UGC7,GO:0003747,1,1,True,20.327542,226
P07237,GO:0003756,1,1,True,10.282911,226
P08003,GO:0003756,1,1,True,10.03867,226
Q17770,GO:0003756,1,1,True,10.266161,226
Q38FJ1,GO:0003756,1,1,True,9.798335,226
Q8VBT0,GO:0003756,2,2,True,2.000543,226
Q9H3N1,GO:0003756,2,2,True,1.945586,226
Q9NG23,GO:0003756,1,1,True,9.798335,226
O02096,GO:0003785,16,1,False,-6.520971,226
O15902,GO:0003785,1,1,True,7.434147,226
P10733,GO:0003785,1,1,True,9.270208,226
P18281,GO:0003785,1,1,True,21.039553,226
P38505,GO:0003785,55,1,False,-11.022668,226
Q2T6X7,GO:0003785,4,1,False,-6.766042,226
Q91YR1,GO:0003785,1,1,True,8.904574,226
P12382,GO:0003872,1,1,True,715.699429,226
P47857,GO:0003872,1,1,True,703.684565,226
P52034,GO:0003872,1,1,True,694.868508,226
Q5AGZ8,GO:0003872,1,1,True,518.696285,226
Q5AK53,GO:0003872,1,1,True,493.434002,226
P0ABS8,GO:0003887,26,1,False,-1.892784,226
P13382,GO:0003887,1,1,True,13.579945,226
P28632,GO:0003887,218,1,False,-0.198354,226
P28905,GO:0003887,197,1,False,-2.422649,226
P54098,GO:0003887,1,1,True,12.539106,226
P58965,GO:0003887,1,1,False,7.714258,226
Q96LW4,GO:0003887,2,1,True,10.417635,226
